site_id,sensor,band,valid_before,valid_after,valid_both,chg_p01,chg_p05,chg_p50,chg_p95,chg_p99,frac_below_t1,frac_below_t2
treatment_0022,sentinel2,NDVI,1.0,1.0,1.0,-0.39685919880867004,-0.22391235828399658,-0.060453593730926514,0.05115765333175659,0.08259516954421997,0.25340652877168907,0.06273894716204294
treatment_0022,sentinel1,VV,1.0,1.0,1.0,-6.243925094604492,-4.145109176635742,-0.20722389221191406,3.385326385498047,4.775246620178223,0.22105675914126066,0.05685717086560141
treatment_0023,sentinel2,NDVI,1.0,1.0,1.0,-0.25276243686676025,-0.11766445636749268,-0.024070680141448975,0.057486653327941895,0.1437666416168213,0.08332516419958827,0.015390647975688659
treatment_0023,sentinel1,VV,1.0,1.0,1.0,-3.5857434272766113,-2.491060733795166,-0.19394207000732422,2.095367431640625,3.178255081176758,0.09950004901480247,0.00470542103715322
treatment_0024,sentinel2,NDVI,1.0,1.0,1.0,-0.3331562280654907,-0.27199405431747437,-0.1268109679222107,-0.02675861120223999,0.036821067333221436,0.6347416919909813,0.18900107832565435
treatment_0024,sentinel1,VV,1.0,1.0,1.0,-5.847801685333252,-4.138953685760498,-0.01162862777709961,3.7403106689453125,5.3382792472839355,0.20360748946181748,0.05626899323595726
treatment_0025,sentinel2,NDVI,0.9900990099009901,0.9900990099009901,0.9900990099009901,-0.26094040274620056,-0.1871767073869705,-0.07312026619911194,-0.00973312854766847,0.017162426710128787,0.3428712871287129,0.033663366336633666
treatment_0025,sentinel1,VV,0.9900990099009901,0.9900990099009901,0.9900990099009901,-5.703764953613281,-3.9608744621276855,-0.17722511291503906,3.465371966361995,4.973198986053469,0.21207920792079207,0.04782178217821782
treatment_0027,sentinel2,NDVI,1.0,1.0,1.0,-0.812595546245575,-0.5775967240333557,-0.11103713512420654,0.02404874563217163,0.11783468723297119,0.5431820409763749,0.2455641603764337
treatment_0027,sentinel1,VV,0.9998039407901186,0.9948044309381433,0.9947064013332026,-6.035552263259888,-4.01566743850708,0.2199859619140625,4.157009029388427,5.867196369171132,0.18103873065930817,0.05045826352616537
