arm,sensor,treatment_site_id,fit_window,donor,weight,lambda,lambda_at_boundary,weight_distance_from_scm,n_negative_weights,sum_negative_weight,n_train_periods
main,sentinel2,treatment_0004,P01-09,counterfactual_0006_03,0.09028364601460302,0.0001,True,3.30344846060189e-07,0,-0.0,9
main,sentinel2,treatment_0004,P01-09,counterfactual_0002_02,0.10510014126553953,0.0001,True,3.30344846060189e-07,0,-0.0,9
main,sentinel2,treatment_0004,P01-09,counterfactual_0006_01,0.037572345692663586,0.0001,True,3.30344846060189e-07,0,-0.0,9
main,sentinel2,treatment_0004,P01-09,counterfactual_0003_03,0.04093431672544729,0.0001,True,3.30344846060189e-07,0,-0.0,9
main,sentinel2,treatment_0005,P01-08,counterfactual_0004_02,0.3389378071927089,0.0001,True,2.3700313213300165e-08,0,-0.0,8
main,sentinel2,treatment_0005,P01-08,counterfactual_0006_02,0.3375552823397613,0.0001,True,2.3700313213300165e-08,0,-0.0,8
main,sentinel2,treatment_0005,P01-08,counterfactual_0004_03,0.12109122099143581,0.0001,True,2.3700313213300165e-08,0,-0.0,8
main,sentinel2,treatment_0005,P01-08,counterfactual_0006_04,0.0691612636752636,0.0001,True,2.3700313213300165e-08,0,-0.0,8
main,sentinel2,treatment_0005,P01-08,counterfactual_0007_01,0.1332544258008305,0.0001,True,2.3700313213300165e-08,0,-0.0,8
main,sentinel2,treatment_0005,P01-09,counterfactual_0004_02,0.2872547566123037,0.0001,True,1.5496396466745409e-07,0,-0.0,9
main,sentinel2,treatment_0005,P01-09,counterfactual_0006_02,0.36316621672873783,0.0001,True,1.5496396466745409e-07,0,-0.0,9
main,sentinel2,treatment_0005,P01-09,counterfactual_0004_03,0.11713917900516299,0.0001,True,1.5496396466745409e-07,0,-0.0,9
main,sentinel2,treatment_0005,P01-09,counterfactual_0006_04,0.11370749819451659,0.0001,True,1.5496396466745409e-07,0,-0.0,9
main,sentinel2,treatment_0005,P01-09,counterfactual_0007_01,0.11873234945927873,0.0001,True,1.5496396466745409e-07,0,-0.0,9
main,sentinel2,treatment_0006,P01-08,counterfactual_0009_01,0.24972291851824766,10000.0,True,1.2795263541685293e-08,0,-0.0,8
main,sentinel2,treatment_0006,P01-08,counterfactual_0007_02,0.1455818787638372,10000.0,True,1.2795263541685293e-08,0,-0.0,8
main,sentinel2,treatment_0006,P01-08,counterfactual_0007_05,0.19663186406513966,10000.0,True,1.2795263541685293e-08,0,-0.0,8
main,sentinel2,treatment_0006,P01-08,counterfactual_0002_04,0.19598602701837986,10000.0,True,1.2795263541685293e-08,0,-0.0,8
main,sentinel2,treatment_0006,P01-08,counterfactual_0002_02,0.2120773116343957,10000.0,True,1.2795263541685293e-08,0,-0.0,8
main,sentinel2,treatment_0006,P01-09,counterfactual_0009_01,0.2801233152812538,10000.0,True,4.3245671241788976e-08,0,-0.0,9
main,sentinel2,treatment_0006,P01-09,counterfactual_0007_02,0.13957708498610805,10000.0,True,4.3245671241788976e-08,0,-0.0,9
main,sentinel2,treatment_0006,P01-09,counterfactual_0007_05,0.22767420419765944,10000.0,True,4.3245671241788976e-08,0,-0.0,9
main,sentinel2,treatment_0006,P01-09,counterfactual_0002_04,0.16886951655841892,10000.0,True,4.3245671241788976e-08,0,-0.0,9
main,sentinel2,treatment_0006,P01-09,counterfactual_0002_02,0.18375587897655982,10000.0,True,4.3245671241788976e-08,0,-0.0,9
main,sentinel2,treatment_0007,P01-08,counterfactual_0005_01,0.5465036974677216,0.0001,True,3.4915736325014683e-07,0,-0.0,8
main,sentinel2,treatment_0007,P01-08,counterfactual_0003_04,0.07553557260232203,0.0001,True,3.4915736325014683e-07,0,-0.0,8
main,sentinel2,treatment_0007,P01-08,counterfactual_0005_04,0.12839219497550503,0.0001,True,3.4915736325014683e-07,0,-0.0,8
main,sentinel2,treatment_0007,P01-08,counterfactual_0007_04,0.11337661329292367,0.0001,True,3.4915736325014683e-07,0,-0.0,8
main,sentinel2,treatment_0007,P01-08,counterfactual_0001_05,0.13619192166152772,0.0001,True,3.4915736325014683e-07,0,-0.0,8
main,sentinel2,treatment_0007,P01-09,counterfactual_0005_01,0.4778458776428754,0.00012589254117941674,False,2.3615259770861938e-07,0,-0.0,9
main,sentinel2,treatment_0007,P01-09,counterfactual_0003_04,0.08796385481927019,0.00012589254117941674,False,2.3615259770861938e-07,0,-0.0,9
main,sentinel2,treatment_0007,P01-09,counterfactual_0005_04,0.11335047917520379,0.00012589254117941674,False,2.3615259770861938e-07,0,-0.0,9
main,sentinel2,treatment_0007,P01-09,counterfactual_0007_04,0.1846085009326455,0.00012589254117941674,False,2.3615259770861938e-07,0,-0.0,9
main,sentinel2,treatment_0007,P01-09,counterfactual_0001_05,0.13623128743000515,0.00012589254117941674,False,2.3615259770861938e-07,0,-0.0,9
