method,sensor,site_id,ok,validation_rmse_std,err_VV,err_VH,err_VV-VH,training_rmse_std,validation_to_training_rmse_ratio,validation_flag,largest_donor_weight,effective_number_of_donors,weights,err_B2,err_B3,err_B4,err_B8,err_B11,err_B12,err_NDVI,err_NDWI
scm,sentinel1,treatment_0019,True,0.4049007973511962,0.1728239536445284,-0.1319146145685141,0.6667566142130258,0.26423688379190124,1.5323401924088476,caution,0.4910293082192582,2.562554474778755,0.3535 0.4910 0.0000 0.1555 0.0000,,,,,,,,
Kimi-K3-thinking-low,sentinel1,treatment_0019,True,0.09146969384000957,-0.09005462045765089,-0.10433886545389703,0.07812605943971107,,,,,,,,,,,,,,
gpt-oss-120b,sentinel1,treatment_0019,True,0.491555295992128,0.1638741558941723,-0.18472206610520764,0.8148023357707816,,,,,,,,,,,,,,
gpt-oss-120b (default effort),sentinel1,treatment_0019,True,0.4500002103426952,0.1366675012850489,-0.1920296298007811,0.74293147954336,,,,,,,,,,,,,,
scm,sentinel1,treatment_0020,True,0.5235417244649482,0.6499415008898167,0.2965726846913602,0.5584876900015312,0.4012615811467057,1.3047392251428513,good,0.9598335301620733,1.083548348875791,0.0000 0.0000 0.0402 0.0000 0.9598,,,,,,,,
Kimi-K3-thinking-low,sentinel1,treatment_0020,True,0.13249571205303487,0.18356229295241067,0.13221343238936384,0.038598368348917056,,,,,,,,,,,,,,
gpt-oss-120b,sentinel1,treatment_0020,True,0.13115020777038064,0.18356229295241067,0.13221343238936384,0.020630654292060457,,,,,,,,,,,,,,
gpt-oss-120b (default effort),sentinel1,treatment_0020,True,0.13249571205303487,0.18356229295241067,0.13221343238936384,0.038598368348917056,,,,,,,,,,,,,,
scm,sentinel1,treatment_0021,True,0.3257332147371288,-0.20434422699803545,0.048316209343441496,-0.5236557670418702,0.5159823095856528,0.6312875629373825,good,0.6411012166343912,1.9532778076927384,0.0443 0.0000 0.6411 0.0000 0.3146,,,,,,,,
Kimi-K3-thinking-low,sentinel1,treatment_0021,False,,,,,,,,,,,,,,,,,,
gpt-oss-120b,sentinel1,treatment_0021,True,0.22763832458732824,0.19455490539930365,0.01004715202465778,0.34279011652035546,,,,,,,,,,,,,,
gpt-oss-120b (default effort),sentinel1,treatment_0021,True,0.20456755616736122,0.27617486922667533,0.22196649919629186,0.0014035494401025972,,,,,,,,,,,,,,
scm,sentinel1,treatment_0022,True,0.20123849414294287,0.24405280645997818,0.2326161986578556,-0.08842356222034514,0.21632711100925184,0.930250920488354,good,0.5280523424957757,2.2971567094738616,0.5281 0.0000 0.0858 0.0000 0.3862,,,,,,,,
Kimi-K3-thinking-low,sentinel1,treatment_0022,False,,,,,,,,,,,,,,,,,,
gpt-oss-120b,sentinel1,treatment_0022,True,0.28512174869375084,0.35382115576651463,0.33111532827858753,-0.09516545510613714,,,,,,,,,,,,,,
gpt-oss-120b (default effort),sentinel1,treatment_0022,True,0.24066542327811458,0.21778788272089444,0.0315052167600694,0.35402739631524727,,,,,,,,,,,,,,
scm,sentinel1,treatment_0023,True,0.05427330348356007,0.03106866562705221,-0.021068777140599626,0.08618363567992482,0.1410307020347218,0.38483325049461903,good,0.8721916262541954,1.2959965556641966,0.0000 0.8722 0.0270 0.1008 0.0000,,,,,,,,
Kimi-K3-thinking-low,sentinel1,treatment_0023,False,,,,,,,,,,,,,,,,,,
gpt-oss-120b,sentinel1,treatment_0023,True,0.1626849633057176,0.1702017789281898,0.036789953129875985,0.22153339625376844,,,,,,,,,,,,,,
gpt-oss-120b (default effort),sentinel1,treatment_0023,True,0.5374100359275368,-0.24696692507837847,-0.5039697603425713,0.7425971039025744,,,,,,,,,,,,,,
scm,sentinel1,treatment_0024,True,0.19107363873593258,0.25707213324218015,0.20796950364339462,-0.013784415983418175,0.1640848157942208,1.164480929030987,good,0.7659688523707426,1.610739829222473,0.0213 0.0000 0.0320 0.1807 0.7660,,,,,,,,
Kimi-K3-thinking-low,sentinel1,treatment_0024,True,0.21918989199301928,0.1927661893567152,0.24393765475479245,-0.21787207964619304,,,,,,,,,,,,,,
gpt-oss-120b,sentinel1,treatment_0024,True,0.25348873098705965,0.09300845578992778,0.20009227258135043,-0.3795815061578913,,,,,,,,,,,,,,
