method,sensor,site_id,ok,nmse_VV,nmse_VH,nmse_VV-VH,nmse10_VV,nmse10_VH,nmse10_VV-VH,joint_nmse,joint_nmse_p10var,selected_blocks,weights,her_stored_joint_nmse,nmse_B2,nmse_B3,nmse_B4,nmse_B8,nmse_B11,nmse_B12,nmse_NDVI,nmse_NDWI,nmse10_B2,nmse10_B3,nmse10_B4,nmse10_B8,nmse10_B11,nmse10_B12,nmse10_NDVI,nmse10_NDWI
shc,sentinel2,treatment_0009,True,,,,,,,0.2066488738071047,0.21082625580540762,5,1.0000,0.206649,0.13238902691965285,0.11301256802855385,0.1621353681478962,0.2106235268192151,0.7886395793153349,0.23677489754927933,0.0005892349792120922,0.009026788697693197,0.14578947978767115,0.12617883409803146,0.14792761250208983,0.23115533375348127,0.8150793354985063,0.21106429433779733,0.0005631673409333152,0.008851989124750458
DeepSeek-V4-Flash-thinking-low,sentinel2,treatment_0009,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLM-5.3,sentinel2,treatment_0009,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kimi-K3-thinking-low,sentinel2,treatment_0009,True,,,,,,,0.40232673167453936,0.39627246374033015,,,,0.18677571341219593,0.23078895583064007,0.9884664877389538,0.010295551542668067,1.2003927127343468,0.38093753896554033,0.1291686988963062,0.09178819427566366,0.20568120129669887,0.2576764856989586,0.9018481854999693,0.011299172931732009,1.2406368134378716,0.33957279120691003,0.12345430134938598,0.090010758501115
gpt-oss-120b,sentinel2,treatment_0009,True,,,,,,,0.35014418238625866,0.3643648685672068,,,,0.18677571341219593,0.45505782245036,0.1684405467300097,0.6124522612917137,1.0243707301232166,0.3420369085292277,0.002697409410141239,0.009322067143204488,0.20568120129669887,0.5080732743765984,0.153680274766381,0.6721547635486886,1.0587135567527757,0.3048962516019169,0.0025780765543638134,0.009141549640231129
gpt-oss-120b (default effort),sentinel2,treatment_0009,True,,,,,,,0.2696643150880277,0.2763472617623399,,,,0.2509940196701646,0.3334974311269459,0.2668350653565199,0.11735670597153133,0.9147719749258884,0.27051950420487014,0.003295468695022425,4.435075327872106e-05,0.2763997017648429,0.37235077273577694,0.24345258286904667,0.12879676333756868,0.9454404179188666,0.24114468573565012,0.0031496778154386173,4.3491921528866264e-05
persistence,sentinel2,treatment_0009,True,,,,,,,0.2066488738071047,0.21082625580540762,,,,0.13238902691965285,0.11301256802855385,0.1621353681478962,0.2106235268192151,0.7886395793153349,0.23677489754927933,0.0005892349792120922,0.009026788697693197,0.14578947978767115,0.12617883409803146,0.14792761250208983,0.23115533375348127,0.8150793354985063,0.21106429433779733,0.0005631673409333152,0.008851989124750458
last3_mean,sentinel2,treatment_0009,True,,,,,,,0.34967099704560856,0.36425067349334445,,,,0.1910377521076147,0.4706066419447824,0.1651640577721018,0.6091803742980104,1.015191996871596,0.3328240211440498,0.0029299059876833644,0.010433226239029744,0.21037464469376477,0.5254335728781886,0.15069090116782935,0.6685639295072365,1.0492270993194017,0.2966837611948143,0.002800287529560121,0.01023119165595997
linear9,sentinel2,treatment_0009,True,,,,,,,1.1827297102804382,1.2371950838522938,,,,1.503369899045095,2.0131445332527917,0.6770533253460209,1.2473230588558433,2.9530620797138765,1.0113465029007953,0.05371717628025238,0.002821106848829699,1.6555414040715486,2.247681249155254,0.6177238384143213,1.3689134462918502,3.0520657861334657,0.9015277302414576,0.051340739086209126,0.002766477424245152
linear4,sentinel2,treatment_0009,True,,,,,,,0.8524755741552795,0.8535833452748866,,,,0.8468064016861105,0.30557837028730417,1.2297315660400576,1.2479440443163394,0.0325497456667868,0.5665120446367568,0.633220624607997,1.9574617960008838,0.9325203731394832,0.34117906672722104,1.1219714529949223,1.369594966079999,0.03364100124389241,0.5049963749228692,0.6052070701258537,1.9195564569648516
