group,site_id,seq,n_valid_parcels,masked
6,counterfactual_0006_05,10,196,True
6,counterfactual_0006_05,11,196,True
6,counterfactual_0006_05,12,196,True
6,counterfactual_0006_05,13,0,False
6,counterfactual_0006_05,14,196,True
6,counterfactual_0006_05,16,168,True
6,counterfactual_0006_05,17,3,False
6,counterfactual_0006_05,18,66,True
6,counterfactual_0006_05,19,196,True
6,counterfactual_0006_05,20,196,True
7,treatment_0007,1,94,True
7,treatment_0007,2,192,True
7,treatment_0007,3,0,False
7,treatment_0007,4,193,True
7,treatment_0007,5,134,True
7,treatment_0007,6,13,True
7,treatment_0007,7,54,True
7,treatment_0007,8,196,True
7,treatment_0007,9,196,True
7,treatment_0007,10,196,True
7,treatment_0007,11,196,True
7,treatment_0007,12,196,True
7,treatment_0007,13,0,False
7,treatment_0007,14,0,False
7,treatment_0007,16,196,True
7,treatment_0007,17,196,True
7,treatment_0007,18,180,True
7,treatment_0007,19,196,True
7,treatment_0007,20,196,True
7,counterfactual_0007_01,1,196,True
7,counterfactual_0007_01,2,177,True
7,counterfactual_0007_01,3,0,False
7,counterfactual_0007_01,4,161,True
7,counterfactual_0007_01,5,196,True
7,counterfactual_0007_01,6,136,True
7,counterfactual_0007_01,7,196,True
7,counterfactual_0007_01,8,196,True
7,counterfactual_0007_01,9,196,True
7,counterfactual_0007_01,10,196,True
7,counterfactual_0007_01,11,196,True
7,counterfactual_0007_01,12,196,True
7,counterfactual_0007_01,13,0,False
7,counterfactual_0007_01,14,9,False
7,counterfactual_0007_01,16,196,True
7,counterfactual_0007_01,17,150,True
7,counterfactual_0007_01,18,128,True
7,counterfactual_0007_01,19,196,True
7,counterfactual_0007_01,20,196,True
7,counterfactual_0007_02,1,196,True
7,counterfactual_0007_02,2,196,True
7,counterfactual_0007_02,3,0,False
7,counterfactual_0007_02,4,196,True
7,counterfactual_0007_02,5,196,True
7,counterfactual_0007_02,6,15,True
7,counterfactual_0007_02,7,166,True
7,counterfactual_0007_02,8,196,True
7,counterfactual_0007_02,9,196,True
7,counterfactual_0007_02,10,196,True
7,counterfactual_0007_02,11,196,True
7,counterfactual_0007_02,12,196,True
7,counterfactual_0007_02,13,169,True
7,counterfactual_0007_02,14,27,True
7,counterfactual_0007_02,16,196,True
7,counterfactual_0007_02,17,196,True
7,counterfactual_0007_02,18,148,True
7,counterfactual_0007_02,19,196,True
7,counterfactual_0007_02,20,196,True
7,counterfactual_0007_03,1,196,True
7,counterfactual_0007_03,2,196,True
7,counterfactual_0007_03,3,0,False
7,counterfactual_0007_03,4,196,True
7,counterfactual_0007_03,5,196,True
7,counterfactual_0007_03,6,0,False
7,counterfactual_0007_03,7,196,True
7,counterfactual_0007_03,8,196,True
7,counterfactual_0007_03,9,83,True
7,counterfactual_0007_03,10,196,True
7,counterfactual_0007_03,11,196,True
7,counterfactual_0007_03,12,196,True
7,counterfactual_0007_03,13,164,True
7,counterfactual_0007_03,14,0,False
7,counterfactual_0007_03,16,196,True
7,counterfactual_0007_03,17,196,True
7,counterfactual_0007_03,18,138,True
7,counterfactual_0007_03,19,196,True
