variant,sensor,treatment_site_id,period,latent_gap_norm,treated_latent_present,donors_present
unitnorm,sentinel2,treatment_0004,P11,1.1799435660673498,True,True
unitnorm,sentinel2,treatment_0004,P12,1.1911936315481204,True,True
unitnorm,sentinel2,treatment_0004,P13,0.8713022938356554,True,True
unitnorm,sentinel2,treatment_0004,P14,1.1875092056616854,True,True
unitnorm,sentinel2,treatment_0004,P15,,True,False
unitnorm,sentinel2,treatment_0004,P16,1.0381682096583398,True,True
unitnorm,sentinel2,treatment_0004,P17,0.9787506278522716,True,True
unitnorm,sentinel2,treatment_0004,P18,1.0436124187686828,True,True
unitnorm,sentinel2,treatment_0004,P19,1.2631950306304929,True,True
unitnorm,sentinel2,treatment_0004,P20,1.3773647867542995,True,True
unitnorm,sentinel2,treatment_0005,P11,1.2002432556054998,True,True
unitnorm,sentinel2,treatment_0005,P12,1.2165750340876336,True,True
unitnorm,sentinel2,treatment_0005,P13,0.9432755323396406,True,True
unitnorm,sentinel2,treatment_0005,P14,1.0899263855862977,True,True
unitnorm,sentinel2,treatment_0005,P15,,True,False
unitnorm,sentinel2,treatment_0005,P16,1.1509677773538511,True,True
unitnorm,sentinel2,treatment_0005,P17,0.9139228357636144,True,True
unitnorm,sentinel2,treatment_0005,P18,0.8699778463214708,True,True
unitnorm,sentinel2,treatment_0005,P19,1.2327147056037475,True,True
unitnorm,sentinel2,treatment_0005,P20,1.2795134642867187,True,True
unitnorm,sentinel2,treatment_0006,P11,1.2108552616104202,True,True
unitnorm,sentinel2,treatment_0006,P12,1.2387113704654602,True,True
unitnorm,sentinel2,treatment_0006,P13,1.0188827926760393,True,True
unitnorm,sentinel2,treatment_0006,P14,1.2335729328131075,True,True
unitnorm,sentinel2,treatment_0006,P15,,False,False
unitnorm,sentinel2,treatment_0006,P16,0.9951907792517893,True,True
unitnorm,sentinel2,treatment_0006,P17,1.0092271020175776,True,True
unitnorm,sentinel2,treatment_0006,P18,0.7441102358730548,True,True
unitnorm,sentinel2,treatment_0006,P19,1.2817113233963324,True,True
unitnorm,sentinel2,treatment_0006,P20,1.38182707870268,True,True
unitnorm,sentinel2,treatment_0007,P11,1.0964343827234702,True,True
unitnorm,sentinel2,treatment_0007,P12,1.1139511118515446,True,True
unitnorm,sentinel2,treatment_0007,P13,1.1508130109578096,True,True
unitnorm,sentinel2,treatment_0007,P14,0.5760770575076868,True,True
unitnorm,sentinel2,treatment_0007,P15,,True,False
unitnorm,sentinel2,treatment_0007,P16,1.17114161706106,True,True
unitnorm,sentinel2,treatment_0007,P17,1.1424730013943571,True,True
unitnorm,sentinel2,treatment_0007,P18,1.1013225823053552,True,True
unitnorm,sentinel2,treatment_0007,P19,1.1796078125616862,True,True
unitnorm,sentinel2,treatment_0007,P20,1.2192464538197572,True,True
unitnorm,sentinel2,treatment_0008,P11,1.1486673665541822,True,True
unitnorm,sentinel2,treatment_0008,P12,1.2317827685004035,True,True
unitnorm,sentinel2,treatment_0008,P13,1.153476731735325,True,True
unitnorm,sentinel2,treatment_0008,P14,1.2460647363209354,True,True
unitnorm,sentinel2,treatment_0008,P15,,True,False
unitnorm,sentinel2,treatment_0008,P16,0.755671958399481,True,True
unitnorm,sentinel2,treatment_0008,P17,1.2004955399446584,True,True
unitnorm,sentinel2,treatment_0008,P18,0.848732706474307,True,True
unitnorm,sentinel2,treatment_0008,P19,1.2217064887381883,True,True
unitnorm,sentinel2,treatment_0008,P20,1.4026385542568418,True,True
unitnorm,sentinel2,treatment_0009,P11,1.2207222401867937,True,True
unitnorm,sentinel2,treatment_0009,P12,1.2646785887908352,True,True
unitnorm,sentinel2,treatment_0009,P13,1.0242929951607684,True,True
unitnorm,sentinel2,treatment_0009,P14,1.2786140503738384,True,True
unitnorm,sentinel2,treatment_0009,P15,,True,False
unitnorm,sentinel2,treatment_0009,P16,0.9216785535998955,True,True
unitnorm,sentinel2,treatment_0009,P17,1.3020707141217411,True,True
unitnorm,sentinel2,treatment_0009,P18,0.8956050621961039,True,True
unitnorm,sentinel2,treatment_0009,P19,1.301419358596264,True,True
unitnorm,sentinel2,treatment_0009,P20,1.4248535133633287,True,True
unitnorm,sentinel2,treatment_0010,P11,1.227194994503624,True,True
unitnorm,sentinel2,treatment_0010,P12,1.2532875610684913,True,True
unitnorm,sentinel2,treatment_0010,P13,0.941923529424422,True,True
unitnorm,sentinel2,treatment_0010,P14,1.2650190371133299,True,True
unitnorm,sentinel2,treatment_0010,P15,,True,False
unitnorm,sentinel2,treatment_0010,P16,1.0437897705069534,True,True
unitnorm,sentinel2,treatment_0010,P17,1.291964464988025,True,True
unitnorm,sentinel2,treatment_0010,P18,0.8832218468411306,True,True
unitnorm,sentinel2,treatment_0010,P19,1.2372417339365653,True,True
unitnorm,sentinel2,treatment_0010,P20,1.3971035717095286,True,True
cv,sentinel1,treatment_0001,P11,1.004366877728042,True,True
cv,sentinel1,treatment_0001,P12,,False,False
cv,sentinel1,treatment_0001,P13,1.028934430633262,True,True
cv,sentinel1,treatment_0001,P14,1.016184417900864,True,True
cv,sentinel1,treatment_0001,P15,,False,False
cv,sentinel1,treatment_0001,P16,0.9885001168131963,True,True
cv,sentinel1,treatment_0001,P17,1.0200048459354047,True,True
cv,sentinel1,treatment_0001,P18,1.0210119520006409,True,True
cv,sentinel1,treatment_0001,P19,1.0173178821995805,True,True
cv,sentinel1,treatment_0001,P20,1.0075833081326335,True,True
cv,sentinel1,treatment_0002,P11,0.9583859500543096,True,True
cv,sentinel1,treatment_0002,P12,,False,False
cv,sentinel1,treatment_0002,P13,0.9735305791196593,True,True
cv,sentinel1,treatment_0002,P14,0.9749618449908238,True,True
cv,sentinel1,treatment_0002,P15,,False,False
cv,sentinel1,treatment_0002,P16,0.9737460552583589,True,True
cv,sentinel1,treatment_0002,P17,0.9830881587932735,True,True
cv,sentinel1,treatment_0002,P18,0.9577181525688647,True,True
cv,sentinel1,treatment_0002,P19,0.9859903824018236,True,True
cv,sentinel1,treatment_0002,P20,0.9724112088923519,True,True
cv,sentinel1,treatment_0003,P11,0.9644493763172353,True,True
cv,sentinel1,treatment_0003,P12,,True,False
cv,sentinel1,treatment_0003,P13,0.9704695222106262,True,True
cv,sentinel1,treatment_0003,P14,0.9378918995523585,True,True
cv,sentinel1,treatment_0003,P15,,True,False
cv,sentinel1,treatment_0003,P16,0.9684191504733415,True,True
cv,sentinel1,treatment_0003,P17,0.9624027760130265,True,True
cv,sentinel1,treatment_0003,P18,0.9955035210324914,True,True
cv,sentinel1,treatment_0003,P19,0.9322799434679443,True,True
cv,sentinel1,treatment_0003,P20,0.9571037882435758,True,True
cv,sentinel1,treatment_0004,P11,0.9870379445585059,True,True
cv,sentinel1,treatment_0004,P12,,True,False
