cache,sensor,repr,site,test,test_rmse,train_rmse,n_test_dims
genfill,sentinel1,quantile,treatment_0001,P10,0.859777337887262,0.7979863314247365,100
genfill,sentinel1,quantile,treatment_0002,P10,0.8222446578515861,0.7840318661052073,100
genfill,sentinel1,quantile,treatment_0003,P10,0.775573826942431,0.7645403562389476,100
genfill,sentinel1,quantile,treatment_0004,P10,0.9485778846542922,0.7960182081751438,100
genfill,sentinel1,quantile,treatment_0005,P10,0.6576445582510366,1.0819264201042589,100
genfill,sentinel1,quantile,treatment_0006,P10,1.0615327939875754,0.756948317189982,100
genfill,sentinel1,quantile,treatment_0007,P10,1.093533238412564,1.0353743542237317,100
genfill,sentinel1,quantile,treatment_0008,P10,0.803678438452795,0.7885176517895579,100
genfill,sentinel1,quantile,treatment_0009,P10,0.6839346104073275,0.8702831032409576,100
genfill,sentinel1,quantile,treatment_0010,P10,0.7066082642857725,0.6843814492360171,100
genfill,sentinel1,gram,treatment_0001,P09,0.5890274501512521,0.6672048853149145,15
genfill,sentinel1,gram,treatment_0002,P09,0.9506600276492524,0.6625877789615139,15
genfill,sentinel1,gram,treatment_0003,P09,0.7854448147268555,0.442358159197675,15
genfill,sentinel1,gram,treatment_0004,P09,0.5694623578202828,0.6739006438102872,15
genfill,sentinel1,gram,treatment_0005,P09,0.4606301955207452,0.5413366717371039,15
genfill,sentinel1,gram,treatment_0006,P09,0.776989567883838,0.6395679664481494,15
genfill,sentinel1,gram,treatment_0007,P09,1.1670094604350587,1.2368132266506071,15
genfill,sentinel1,gram,treatment_0008,P09,0.6150308268745253,0.7070216325743028,15
genfill,sentinel1,gram,treatment_0009,P09,0.4262249123889016,0.6440184159801177,15
genfill,sentinel1,gram,treatment_0010,P09,0.3538117451945995,0.5163108312268103,15
genfill,sentinel1,gram,treatment_0001,P10,0.8056184127150968,0.6661505320121925,15
genfill,sentinel1,gram,treatment_0002,P10,0.6088419348700865,0.6992491036946005,15
genfill,sentinel1,gram,treatment_0003,P10,0.30925904827025874,0.4738066288513475,15
genfill,sentinel1,gram,treatment_0004,P10,0.9377814877795162,0.6681512870653973,15
genfill,sentinel1,gram,treatment_0005,P10,0.5389761726918043,0.5380325808580231,15
genfill,sentinel1,gram,treatment_0006,P10,0.7663323769265088,0.6604555212900591,15
genfill,sentinel1,gram,treatment_0007,P10,1.0927004571517274,1.2368476907770996,15
genfill,sentinel1,gram,treatment_0008,P10,1.049043941551266,0.7023180169496722,15
genfill,sentinel1,gram,treatment_0009,P10,0.5092039089254348,0.6272482320146624,15
genfill,sentinel1,gram,treatment_0010,P10,0.5368402748123606,0.5050527485405614,15
genfill,sentinel1,combined,treatment_0001,P09,0.8060242487830078,0.7790638006766101,115
genfill,sentinel1,combined,treatment_0002,P09,0.8592465407251657,0.7671918844060341,115
genfill,sentinel1,combined,treatment_0003,P09,0.8514015729720033,0.7070884143166675,115
genfill,sentinel1,combined,treatment_0004,P09,0.674326432541518,0.7997744286258635,115
genfill,sentinel1,combined,treatment_0005,P09,0.648160675380023,1.0335363391888628,115
genfill,sentinel1,combined,treatment_0006,P09,0.7164413196123642,0.764758175749962,115
genfill,sentinel1,combined,treatment_0007,P09,1.0408351738598396,1.0562588353435018,115
genfill,sentinel1,combined,treatment_0008,P09,0.7224528436002156,0.7827659745979463,115
genfill,sentinel1,combined,treatment_0009,P09,0.5820328421222656,0.8512406299961758,115
genfill,sentinel1,combined,treatment_0010,P09,0.5528143527021913,0.6738425915957611,115
genfill,sentinel1,combined,treatment_0001,P10,0.8535295267823894,0.785738790984922,115
genfill,sentinel1,combined,treatment_0002,P10,0.800438581726042,0.7769482250731096,115
genfill,sentinel1,combined,treatment_0003,P10,0.7299295108078949,0.7349002606140971,115
genfill,sentinel1,combined,treatment_0004,P10,0.9400529666418864,0.7896993319935861,115
genfill,sentinel1,combined,treatment_0005,P10,0.6508262863455228,1.0300822602032398,115
genfill,sentinel1,combined,treatment_0006,P10,1.0317032491201266,0.750913899011282,115
genfill,sentinel1,combined,treatment_0007,P10,1.0952274299683948,1.064864400556825,115
genfill,sentinel1,combined,treatment_0008,P10,0.8339344933491862,0.7829082578057406,115
genfill,sentinel1,combined,treatment_0009,P10,0.6679683245648854,0.8457530710969907,115
genfill,sentinel1,combined,treatment_0010,P10,0.6931611788026283,0.6650087834909987,115
genfill,sentinel2,latent980,treatment_0001,P09,1.1106358772910394,1.1219254588815302,980
genfill,sentinel2,latent980,treatment_0002,P09,1.1077469179479624,1.099269213779819,980
genfill,sentinel2,latent980,treatment_0003,P09,0.9697673213706003,0.9901490991371872,980
genfill,sentinel2,latent980,treatment_0004,P09,0.7263774173463644,0.6651349196792423,980
genfill,sentinel2,latent980,treatment_0005,P09,1.1751878241744016,1.1400877881058948,980
genfill,sentinel2,latent980,treatment_0006,P09,1.2221323089598788,1.1256714255039244,980
genfill,sentinel2,latent980,treatment_0007,P09,0.9299883080278557,1.1313918664374585,980
genfill,sentinel2,latent980,treatment_0008,P09,0.8261108392574661,1.0552829789746871,980
genfill,sentinel2,latent980,treatment_0009,P09,0.7827778704419525,0.929458611608348,980
genfill,sentinel2,latent980,treatment_0010,P09,1.104301665968717,1.1524973970947747,980
genfill,sentinel2,latent980,treatment_0001,P10,1.2659153519294941,1.121159373016167,980
genfill,sentinel2,latent980,treatment_0002,P10,1.0759167655330455,1.1005326748657422,980
