fill,sensor,repr,M,estimator,perm,role,site,n_donors,n_pre,n_valid_test,rmse_train,rmse_test,rms_y_test,w_max,rel_l2_test,C2,C3,n_cells_used,rmse_test_unproj,sum_w,n_negative,lambda_,lambda_flag,rmse_test_fscm
chipmean,sentinel1,gram,15,afsc,-,estimator,treatment_0004,5,9,196,0.01648961411180801,0.0263445434122271,0.3255395561766472,0.564128385142264,0.08092578278853396,False,True,,0.0263445434122271,0.9999999999999999,1.0,0.1,interior,0.0278716401036871
chipmean,sentinel1,gram,15,afsc,-,estimator,treatment_0005,5,9,196,0.013838036053500686,0.0137074993689749,0.3301136383803457,0.424318154308485,0.04152357786921117,True,False,,0.0137074993689749,0.9999000000000003,2.0,0.1,interior,0.0133011625441953
chipmean,sentinel1,gram,15,afsc,-,estimator,treatment_0006,5,9,196,0.017578260272973777,0.0206986724545916,0.3297249826944926,0.941451805371192,0.06277556612617977,False,True,,0.0206986724545917,1.0,2.0,0.1,interior,0.0225683315707929
chipmean,sentinel1,gram,15,afsc,-,estimator,treatment_0007,5,5,196,0.019588617593622022,0.01753749671837,0.3184718844398508,0.393984205736403,0.055067645136763314,False,True,,0.0175374967183699,0.9999999999999992,1.0,0.1,interior,0.017541633458033
chipmean,sentinel1,gram,15,afsc,-,estimator,treatment_0008,5,9,196,0.018239812617337623,0.0251433955452575,0.3415014911354085,0.49746569108405,0.07362601979177863,False,True,,0.0251433955452575,0.9999000000000009,2.0,0.1,interior,0.0250773895009731
chipmean,sentinel1,gram,15,afsc,-,estimator,treatment_0009,5,9,196,0.015543439309366329,0.0125307897526484,0.33340698925127005,0.352275416044234,0.03758406439165752,True,True,,0.0125307897526486,1.0,1.0,0.1,interior,0.0124834518064608
chipmean,sentinel1,gram,15,afsc,-,estimator,treatment_0010,5,9,196,0.01344137713328745,0.0149108338296773,0.34276004085754236,0.61720544637727,0.0435022524573526,True,True,,0.0149108338296773,0.9999999999999998,2.0,0.1,interior,0.0150828958353865
chipmean,sentinel1,quantile,100,equal_weight,-,reference,treatment_0001,5,9,196,0.05971046450016722,0.06572927692961886,0.6208442652782897,,0.10587079660010405,False,False,,,,,,,
chipmean,sentinel1,quantile,100,equal_weight,-,reference,treatment_0002,5,9,196,0.059336174570416185,0.055116431332408344,0.6210061993874038,,0.08875343174798958,False,False,,,,,,,
chipmean,sentinel1,quantile,100,equal_weight,-,reference,treatment_0003,5,9,196,0.05323206047707595,0.05185184332620901,0.6328481733253016,,0.08193409653654118,False,False,,,,,,,
chipmean,sentinel1,quantile,100,equal_weight,-,reference,treatment_0004,5,9,196,0.05908475146135971,0.06624263482043878,0.6204618993447061,,0.1067634207521851,False,False,,,,,,,
chipmean,sentinel1,quantile,100,equal_weight,-,reference,treatment_0005,5,9,196,0.05719415083356034,0.05321130014842971,0.622970180212937,,0.08541548510434574,True,False,,,,,,,
chipmean,sentinel1,quantile,100,equal_weight,-,reference,treatment_0006,5,9,196,0.06659042657444882,0.07216474934545507,0.6239830491453294,,0.11565177843260203,False,False,,,,,,,
chipmean,sentinel1,quantile,100,equal_weight,-,reference,treatment_0007,5,5,196,0.06334798317071877,0.06308051258932879,0.6207753333178503,,0.10161568800129854,False,False,,,,,,,
chipmean,sentinel1,quantile,100,equal_weight,-,reference,treatment_0008,5,9,196,0.060962045554154624,0.0637253802808209,0.6340284164118342,,0.10050871322371138,False,False,,,,,,,
chipmean,sentinel1,quantile,100,equal_weight,-,reference,treatment_0009,5,9,196,0.054816472350671684,0.05327725896512739,0.62438421161085,,0.085327684419946,False,False,,,,,,,
chipmean,sentinel1,quantile,100,equal_weight,-,reference,treatment_0010,5,9,196,0.05526836212673867,0.05575756061738853,0.6320635736692839,,0.08821511465010114,False,False,,,,,,,
chipmean,sentinel1,quantile,100,own_history_mean,-,reference,treatment_0001,5,9,196,0.04156689989751476,0.04063301928147397,0.6208442652782897,,0.06544800613284309,False,True,,,,,,,
chipmean,sentinel1,quantile,100,own_history_mean,-,reference,treatment_0002,5,9,196,0.04334004753563188,0.04112243373337977,0.6210061993874038,,0.06621903899501375,False,True,,,,,,,
chipmean,sentinel1,quantile,100,own_history_mean,-,reference,treatment_0003,5,9,196,0.04588678319929163,0.045723181322263634,0.6328481733253016,,0.07224984324756933,False,True,,,,,,,
chipmean,sentinel1,quantile,100,own_history_mean,-,reference,treatment_0004,5,9,196,0.043703603082352216,0.048872178560384165,0.6204618993447061,,0.07876741281293818,False,True,,,,,,,
chipmean,sentinel1,quantile,100,own_history_mean,-,reference,treatment_0005,5,9,196,0.04756082458746384,0.05723789053385833,0.622970180212937,,0.0918790214232949,False,False,,,,,,,
