site_id,sensor,period_id,seq,valid_pixel_fraction,fill_method,arm
counterfactual_0002_05,sentinel1,before_P04,4,1.0,none,
counterfactual_0002_05,sentinel1,before_P05,5,1.0,none,
counterfactual_0002_05,sentinel1,before_P06,6,1.0,none,
counterfactual_0002_05,sentinel1,before_P07,7,1.0,none,
counterfactual_0002_05,sentinel1,before_P08,8,1.0,none,
counterfactual_0002_05,sentinel1,before_P09,9,1.0,none,
counterfactual_0002_05,sentinel1,before_P10,10,1.0,none,
counterfactual_0002_05,sentinel1,after_P01,11,1.0,none,
counterfactual_0002_05,sentinel1,after_P02,12,,generated_s2_to_s1,B
counterfactual_0002_05,sentinel1,after_P03,13,1.0,none,
counterfactual_0002_05,sentinel1,after_P04,14,1.0,none,
counterfactual_0002_05,sentinel1,after_P05,15,,still_missing,
counterfactual_0002_05,sentinel1,after_P06,16,1.0,none,
counterfactual_0002_05,sentinel1,after_P07,17,1.0,none,
counterfactual_0002_05,sentinel1,after_P08,18,1.0,none,
counterfactual_0002_05,sentinel1,after_P09,19,1.0,none,
counterfactual_0002_05,sentinel1,after_P10,20,1.0,none,
counterfactual_0002_05,sentinel2,before_P01,1,0.9984315263209488,generated_s1_to_s2,A
counterfactual_0002_05,sentinel2,before_P02,2,1.0,none,
counterfactual_0002_05,sentinel2,before_P03,3,0.0,generated_s1_to_s2,A
counterfactual_0002_05,sentinel2,before_P04,4,1.0,none,
counterfactual_0002_05,sentinel2,before_P05,5,1.0,none,
counterfactual_0002_05,sentinel2,before_P06,6,0.560337221840996,generated_s1_to_s2,A
counterfactual_0002_05,sentinel2,before_P07,7,0.7804136849328497,generated_s1_to_s2,A
counterfactual_0002_05,sentinel2,before_P08,8,1.0,none,
counterfactual_0002_05,sentinel2,before_P09,9,0.8403097735516126,generated_s1_to_s2,A
counterfactual_0002_05,sentinel2,before_P10,10,1.0,none,
counterfactual_0002_05,sentinel2,after_P01,11,1.0,none,
counterfactual_0002_05,sentinel2,after_P02,12,1.0,none,
counterfactual_0002_05,sentinel2,after_P03,13,0.0,generated_s1_to_s2,A
counterfactual_0002_05,sentinel2,after_P04,14,1.0,none,
counterfactual_0002_05,sentinel2,after_P05,15,,still_missing,
counterfactual_0002_05,sentinel2,after_P06,16,0.8274678953043819,generated_s1_to_s2,A
counterfactual_0002_05,sentinel2,after_P07,17,0.1164591706695422,generated_s1_to_s2,A
counterfactual_0002_05,sentinel2,after_P08,18,0.131163611410646,generated_s1_to_s2,A
counterfactual_0002_05,sentinel2,after_P09,19,1.0,none,
counterfactual_0002_05,sentinel2,after_P10,20,1.0,none,
counterfactual_0003_01,sentinel1,before_P01,1,1.0,none,
