sensor,method,site,band,err,sd
sentinel2,synth_equal,treatment_0006,NDVI,-0.12468874454498291,0.11497209966182709
sentinel2,synth_equal,treatment_0006,NDWI,0.14825439453125,0.09809047728776932
sentinel2,floor,treatment_0007,B2,0.032914286479353905,0.02821251191198826
sentinel2,floor,treatment_0007,B3,0.04333363100886345,0.02412761002779007
sentinel2,floor,treatment_0007,B4,0.03365721367299557,0.02600637823343277
sentinel2,floor,treatment_0007,B8,-0.0025453269481658936,0.06917707622051239
sentinel2,floor,treatment_0007,B11,0.011071696877479553,0.0362948440015316
sentinel2,floor,treatment_0007,B12,0.018238060176372528,0.028454743325710297
sentinel2,floor,treatment_0007,NDVI,-0.17034459114074707,0.11497209966182709
sentinel2,floor,treatment_0007,NDWI,0.19654977321624756,0.09809047728776932
sentinel2,synth_bands,treatment_0007,B2,0.03857044316828251,0.02821251191198826
sentinel2,synth_bands,treatment_0007,B3,0.040458280593156815,0.02412761002779007
sentinel2,synth_bands,treatment_0007,B4,0.04612593911588192,0.02600637823343277
sentinel2,synth_bands,treatment_0007,B8,-0.01899704337120056,0.06917707622051239
sentinel2,synth_bands,treatment_0007,B11,0.016803741455078125,0.0362948440015316
sentinel2,synth_bands,treatment_0007,B12,0.042743705213069916,0.028454743325710297
sentinel2,synth_bands,treatment_0007,NDVI,-0.24236643314361572,0.11497209966182709
sentinel2,synth_bands,treatment_0007,NDWI,0.20305728912353516,0.09809047728776932
sentinel2,synth_tm5,treatment_0007,B2,0.03319275565445423,0.02821251191198826
sentinel2,synth_tm5,treatment_0007,B3,0.035657595843076706,0.02412761002779007
sentinel2,synth_tm5,treatment_0007,B4,0.03284097649157047,0.02600637823343277
sentinel2,synth_tm5,treatment_0007,B8,-0.01213410496711731,0.06917707622051239
sentinel2,synth_tm5,treatment_0007,B11,0.016221538186073303,0.0362948440015316
sentinel2,synth_tm5,treatment_0007,B12,0.030856557190418243,0.028454743325710297
sentinel2,synth_tm5,treatment_0007,NDVI,-0.17365103960037231,0.11497209966182709
sentinel2,synth_tm5,treatment_0007,NDWI,0.17462939023971558,0.09809047728776932
sentinel2,synth_lat980,treatment_0007,B2,0.04072253964841366,0.02821251191198826
sentinel2,synth_lat980,treatment_0007,B3,0.04052520915865898,0.02412761002779007
sentinel2,synth_lat980,treatment_0007,B4,0.043878791853785515,0.02600637823343277
sentinel2,synth_lat980,treatment_0007,B8,-0.01266375184059143,0.06917707622051239
sentinel2,synth_lat980,treatment_0007,B11,0.004316896200180054,0.0362948440015316
sentinel2,synth_lat980,treatment_0007,B12,0.03935360163450241,0.028454743325710297
sentinel2,synth_lat980,treatment_0007,NDVI,-0.22652602195739746,0.11497209966182709
sentinel2,synth_lat980,treatment_0007,NDWI,0.19621634483337402,0.09809047728776932
sentinel2,synth_equal,treatment_0007,B2,0.04145103134214878,0.02821251191198826
sentinel2,synth_equal,treatment_0007,B3,0.044119011610746384,0.02412761002779007
sentinel2,synth_equal,treatment_0007,B4,0.04471228085458279,0.02600637823343277
sentinel2,synth_equal,treatment_0007,B8,-0.019134581089019775,0.06917707622051239
sentinel2,synth_equal,treatment_0007,B11,0.007588639855384827,0.0362948440015316
sentinel2,synth_equal,treatment_0007,B12,0.04314969480037689,0.028454743325710297
sentinel2,synth_equal,treatment_0007,NDVI,-0.23686271905899048,0.11497209966182709
sentinel2,synth_equal,treatment_0007,NDWI,0.21849286556243896,0.09809047728776932
sentinel2,floor,treatment_0008,B2,0.020391374826431274,0.02821251191198826
sentinel2,floor,treatment_0008,B3,0.025966469198465347,0.02412761002779007
sentinel2,floor,treatment_0008,B4,0.020171549171209335,0.02600637823343277
sentinel2,floor,treatment_0008,B8,-0.0068367719650268555,0.06917707622051239
sentinel2,floor,treatment_0008,B11,-0.0008011013269424438,0.0362948440015316
sentinel2,floor,treatment_0008,B12,0.0071453675627708435,0.028454743325710297
sentinel2,floor,treatment_0008,NDVI,-0.11115825176239014,0.11497209966182709
sentinel2,floor,treatment_0008,NDWI,0.13046956062316895,0.09809047728776932
sentinel2,synth_bands,treatment_0008,B2,0.024052336812019348,0.02821251191198826
sentinel2,synth_bands,treatment_0008,B3,0.023256469517946243,0.02412761002779007
sentinel2,synth_bands,treatment_0008,B4,0.018439199775457382,0.02600637823343277
sentinel2,synth_bands,treatment_0008,B8,-0.017410635948181152,0.06917707622051239
sentinel2,synth_bands,treatment_0008,B11,-0.029621079564094543,0.0362948440015316
sentinel2,synth_bands,treatment_0008,B12,-0.004467621445655823,0.028454743325710297
sentinel2,synth_bands,treatment_0008,NDVI,-0.11816555261611938,0.11497209966182709
sentinel2,synth_bands,treatment_0008,NDWI,0.13223403692245483,0.09809047728776932
sentinel2,synth_tm5,treatment_0008,B2,0.02896835282444954,0.02821251191198826
sentinel2,synth_tm5,treatment_0008,B3,0.028737742453813553,0.02412761002779007
sentinel2,synth_tm5,treatment_0008,B4,0.02540842816233635,0.02600637823343277
sentinel2,synth_tm5,treatment_0008,B8,-0.019878089427947998,0.06917707622051239
sentinel2,synth_tm5,treatment_0008,B11,-0.02249932289123535,0.0362948440015316
sentinel2,synth_tm5,treatment_0008,B12,0.00381440669298172,0.028454743325710297
sentinel2,synth_tm5,treatment_0008,NDVI,-0.15218901634216309,0.11497209966182709
sentinel2,synth_tm5,treatment_0008,NDWI,0.15737491846084595,0.09809047728776932
sentinel2,synth_lat980,treatment_0008,B2,0.033397216349840164,0.02821251191198826
sentinel2,synth_lat980,treatment_0008,B3,0.031230296939611435,0.02412761002779007
sentinel2,synth_lat980,treatment_0008,B4,0.03189302608370781,0.02600637823343277
sentinel2,synth_lat980,treatment_0008,B8,-0.014617085456848145,0.06917707622051239
sentinel2,synth_lat980,treatment_0008,B11,-0.027800053358078003,0.0362948440015316
sentinel2,synth_lat980,treatment_0008,B12,0.010407932102680206,0.028454743325710297
sentinel2,synth_lat980,treatment_0008,NDVI,-0.17578965425491333,0.11497209966182709
sentinel2,synth_lat980,treatment_0008,NDWI,0.16168469190597534,0.09809047728776932
sentinel2,synth_equal,treatment_0008,B2,0.034195426851511,0.02821251191198826
sentinel2,synth_equal,treatment_0008,B3,0.032707031816244125,0.02412761002779007
sentinel2,synth_equal,treatment_0008,B4,0.031676989048719406,0.02600637823343277
sentinel2,synth_equal,treatment_0008,B8,-0.015193015336990356,0.06917707622051239
sentinel2,synth_equal,treatment_0008,B11,-0.023965835571289062,0.0362948440015316
sentinel2,synth_equal,treatment_0008,B12,0.011873528361320496,0.028454743325710297
sentinel2,synth_equal,treatment_0008,NDVI,-0.17534732818603516,0.11497209966182709
sentinel2,synth_equal,treatment_0008,NDWI,0.1680901050567627,0.09809047728776932
sentinel2,floor,treatment_0009,B2,0.030674295499920845,0.02821251191198826
sentinel2,floor,treatment_0009,B3,0.0352722592651844,0.02412761002779007
sentinel2,floor,treatment_0009,B4,0.02943180873990059,0.02600637823343277
sentinel2,floor,treatment_0009,B8,-0.0038430392742156982,0.06917707622051239
sentinel2,floor,treatment_0009,B11,7.906556129455566e-05,0.0362948440015316
sentinel2,floor,treatment_0009,B12,0.012719795107841492,0.028454743325710297
sentinel2,floor,treatment_0009,NDVI,-0.14556217193603516,0.11497209966182709
sentinel2,floor,treatment_0009,NDWI,0.1607688069343567,0.09809047728776932
sentinel2,synth_bands,treatment_0009,B2,0.028806796297430992,0.02821251191198826
sentinel2,synth_bands,treatment_0009,B3,0.02846684679389,0.02412761002779007
sentinel2,synth_bands,treatment_0009,B4,0.02546510472893715,0.02600637823343277
sentinel2,synth_bands,treatment_0009,B8,-0.019864946603775024,0.06917707622051239
sentinel2,synth_bands,treatment_0009,B11,-0.021876230835914612,0.0362948440015316
sentinel2,synth_bands,treatment_0009,B12,0.004836238920688629,0.028454743325710297
sentinel2,synth_bands,treatment_0009,NDVI,-0.14870595932006836,0.11497209966182709
sentinel2,synth_bands,treatment_0009,NDWI,0.1535232663154602,0.09809047728776932
sentinel2,synth_tm5,treatment_0009,B2,0.01743493042886257,0.02821251191198826
sentinel2,synth_tm5,treatment_0009,B3,0.019692610949277878,0.02412761002779007
sentinel2,synth_tm5,treatment_0009,B4,0.011792242527008057,0.02600637823343277
sentinel2,synth_tm5,treatment_0009,B8,-0.0033429861068725586,0.06917707622051239
sentinel2,synth_tm5,treatment_0009,B11,-0.01936328411102295,0.0362948440015316
sentinel2,synth_tm5,treatment_0009,B12,-0.004648081958293915,0.028454743325710297
sentinel2,synth_tm5,treatment_0009,NDVI,-0.07359933853149414,0.11497209966182709
sentinel2,synth_tm5,treatment_0009,NDWI,0.10109007358551025,0.09809047728776932
sentinel2,synth_lat980,treatment_0009,B2,0.01883574016392231,0.02821251191198826
sentinel2,synth_lat980,treatment_0009,B3,0.019438598304986954,0.02412761002779007
sentinel2,synth_lat980,treatment_0009,B4,0.01735876500606537,0.02600637823343277
sentinel2,synth_lat980,treatment_0009,B8,-0.028257399797439575,0.06917707622051239
sentinel2,synth_lat980,treatment_0009,B11,-0.03152155876159668,0.0362948440015316
sentinel2,synth_lat980,treatment_0009,B12,0.0016762837767601013,0.028454743325710297
sentinel2,synth_lat980,treatment_0009,NDVI,-0.12058460712432861,0.11497209966182709
sentinel2,synth_lat980,treatment_0009,NDWI,0.12534183263778687,0.09809047728776932
sentinel2,synth_equal,treatment_0009,B2,0.029471157118678093,0.02821251191198826
sentinel2,synth_equal,treatment_0009,B3,0.026648249477148056,0.02412761002779007
sentinel2,synth_equal,treatment_0009,B4,0.026104915887117386,0.02600637823343277
