site,test,test_rmse,train_rmse,own_hist_rmse,equal_w_rmse,C1,C2,C3,w_max,arm,sensor,n_donors
treatment_0003,P10,0.3041181394103384,0.5657739832005095,1.0563467734065954,0.16303055220936596,True,True,False,0.5916702729970921,ch_joint_dm,sentinel2,
treatment_0004,P10,0.39526451207465907,0.8306050683599154,0.5624748470265789,0.7390226489134908,True,True,True,0.4166125643950761,ch_joint_dm,sentinel2,
treatment_0005,P10,0.6403039399823248,1.2103833687288117,0.7625504022439338,0.7701907687665112,True,True,True,0.6594138083961758,ch_joint_dm,sentinel2,
treatment_0006,P10,0.15667826898043913,0.45842075960355133,0.9332989647189405,0.17979713134382408,True,True,True,0.7392251673017579,ch_joint_dm,sentinel2,
treatment_0007,P10,0.4226512197365281,0.3198178769251457,1.1105828605654366,0.6132011254601857,True,True,True,0.7294315090009499,ch_joint_dm,sentinel2,
treatment_0008,P10,0.33499515685492104,0.7870195194872335,0.6922208637629296,0.22816449352217738,True,True,False,0.4589570758986459,ch_joint_dm,sentinel2,
treatment_0009,P10,0.3863062604135432,0.5785844199427777,0.6426293279725308,0.2451195038788462,True,True,False,0.6066780981525765,ch_joint_dm,sentinel2,
treatment_0010,P10,0.38834071756985955,0.8908594891168861,0.43283087602649606,0.6265470833806001,True,True,True,0.4470610684229187,ch_joint_dm,sentinel2,
treatment_0001,P09,1.1043714906690139,1.1243086598857588,0.7330067786741923,1.1048836112059284,True,False,True,0.22259041113072822,lat_A,sentinel1,5.0
treatment_0002,P09,1.0682339789855553,1.058895344109385,0.7213942690743355,1.0695567792145706,True,False,True,0.2300780094675062,lat_A,sentinel1,5.0
treatment_0003,P09,1.0720687433184592,1.070493041108446,0.743235322796114,1.0728652421331133,True,False,True,0.23305227940378578,lat_A,sentinel1,5.0
treatment_0004,P09,1.0811624088415976,1.1142252551575784,0.6488096654148676,1.0831020408464302,True,False,True,0.23466533845423249,lat_A,sentinel1,5.0
treatment_0005,P09,1.0469676156596892,1.0645968643749564,0.6642415369921404,1.0484021515238464,True,False,True,0.22156106491131453,lat_A,sentinel1,5.0
treatment_0006,P09,1.0950143599388766,1.0971391902166088,0.7774994322144978,1.0961321943860263,True,False,True,0.24924289993970764,lat_A,sentinel1,5.0
treatment_0007,P09,1.086395448283232,1.079122915462637,0.5847053290131708,1.0889362960376197,True,False,True,0.2364389475424074,lat_A,sentinel1,5.0
treatment_0008,P09,1.0551675449850706,1.0662393715039655,0.6428506730655584,1.0566520783082745,True,False,True,0.23901421314693355,lat_A,sentinel1,5.0
treatment_0009,P09,1.091189045177523,1.0818456525134728,0.663050711366829,1.0934558500706175,True,False,True,0.22335733886894102,lat_A,sentinel1,5.0
treatment_0010,P09,1.0885513101247755,1.1278435742924986,0.6567508396324037,1.0938439222400091,True,False,True,0.23252363626743072,lat_A,sentinel1,5.0
treatment_0001,P10,1.1112965393051473,1.122522878509374,0.7227511443444575,1.1101811384887774,True,False,False,0.2255032512826718,lat_A,sentinel1,5.0
treatment_0002,P10,1.090954250800045,1.060334661849833,0.7263415509992999,1.0909100146571142,True,False,False,0.23103348319036476,lat_A,sentinel1,5.0
treatment_0003,P10,1.0410919800904268,1.07111388599305,0.7499124797055267,1.0427044526543774,True,False,True,0.2301366252679629,lat_A,sentinel1,5.0
treatment_0004,P10,1.0982860234297545,1.1110176877340368,0.6435291050464366,1.0984933882386079,True,False,True,0.23217578819341086,lat_A,sentinel1,5.0
treatment_0005,P10,1.0685896291259571,1.0630277652197038,0.6310361403163858,1.0685387299854698,True,False,False,0.22364381569648623,lat_A,sentinel1,5.0
treatment_0006,P10,1.1072644072935163,1.0973454941159502,0.7707126846653085,1.1105193735098913,True,False,True,0.24912643293875456,lat_A,sentinel1,5.0
treatment_0007,P10,1.0779897641431575,1.0809433495369574,0.5941330248592782,1.0810567039725127,True,False,True,0.2352892665026873,lat_A,sentinel1,5.0
treatment_0008,P10,1.0593150454440154,1.0654241978035681,0.6646255426320433,1.0622186857152933,True,False,True,0.23869467389149635,lat_A,sentinel1,5.0
treatment_0009,P10,1.0640166065665664,1.0833003127286782,0.6793752218779436,1.0660937211251835,True,False,True,0.22820482294285616,lat_A,sentinel1,5.0
treatment_0010,P10,1.1008875038101513,1.123964025472038,0.6669206069308439,1.104761488515167,True,False,True,0.23330153530175812,lat_A,sentinel1,5.0
treatment_0001,P09,0.823435800373782,0.7298237559369314,0.7330067786741923,1.1048836112059284,True,False,True,0.2578958449275552,lat_A_dm,sentinel1,5.0
treatment_0002,P09,0.8035947853011572,0.6848794412604828,0.7213942690743355,1.0695567792145706,True,False,True,0.21310589586114628,lat_A_dm,sentinel1,5.0
treatment_0003,P09,0.8108840477122413,0.7249024167088292,0.743235322796114,1.0728652421331133,True,False,True,0.22686214945487274,lat_A_dm,sentinel1,5.0
treatment_0004,P09,0.7082171456920998,0.6750104126473773,0.6488096654148676,1.0831020408464302,True,False,True,0.22940358871943406,lat_A_dm,sentinel1,5.0
