fill,sensor,seq,period,n_rows,lam,lam_flag,n_leverage_one,kind,r2_ch1,r2_ch2,r2_ch3,r2_ch4,r2_ch5,feature,coef_ch1,coef_ch2,coef_ch3,coef_ch4,coef_ch5
chipmean,sentinel2,12,P12,150,100.0,,,coef,,,,,,intercept,0.6177724632034609,0.7752815560561942,0.7984149569781975,0.5951119544809433,0.6696264044411685
chipmean,sentinel2,12,P12,150,100.0,,,coef,,,,,,class_21,-4.625066628352095e-18,-5.616396715068049e-18,-6.133615849633307e-18,-3.891584048272123e-18,-4.593426229128619e-18
chipmean,sentinel2,12,P12,150,100.0,,,coef,,,,,,class_22,-0.002050200880251124,-0.002709057882198149,-0.001970584408781366,-0.002619399953152476,-0.0006932656394257873
chipmean,sentinel2,12,P12,150,100.0,,,coef,,,,,,class_42,4.3373301407251866e-18,5.404781923112952e-18,6.114442819450384e-18,3.527352393196399e-18,5.502638069754059e-18
chipmean,sentinel2,12,P12,150,100.0,,,coef,,,,,,class_43,0.002758372352430221,0.0028105397765883938,-0.001244262074203752,0.006505039049773661,-0.008079786554874468
chipmean,sentinel2,12,P12,150,100.0,,,coef,,,,,,class_71,4.680614443008057e-19,4.0526194814916676e-19,1.739311685228339e-19,8.961884508406593e-19,-3.9850680337516303e-19
chipmean,sentinel2,12,P12,150,100.0,,,coef,,,,,,class_81,-0.0028294739703352166,-0.004418600866472431,0.0007231319926812449,-0.005595854600974699,0.007874133389286995
chipmean,sentinel2,12,P12,150,100.0,,,coef,,,,,,elevation_m,0.003613746716365867,0.004496586461181267,-0.0002360872114017448,0.00909646110308434,-0.005013659116167447
chipmean,sentinel2,12,P12,150,100.0,,,coef,,,,,,slope_deg,0.004975945236174603,0.0066102750865162,0.0029571080590360785,0.009544777440656632,0.0007724935277860543
chipmean,sentinel2,13,P13,146,100.0,interior,0.0,r2,-0.009454626168552995,-0.017680452846561643,-0.0037787875783591475,-0.0030473234402348965,0.00826281333095311,,,,,,
chipmean,sentinel2,14,P14,150,100.0,interior,0.0,r2,-0.009139320985477496,-0.0001742813101500967,-0.00787950021902346,0.018793049024063826,0.012251955563221695,,,,,,
chipmean,sentinel2,15,P15,150,100.0,interior,0.0,r2,-0.013617920121438441,-0.009678042050083617,-0.017040580915408467,-0.009886584667674456,-0.00012832976962449467,,,,,,
chipmean,sentinel2,16,P16,150,100.0,interior,0.0,r2,-0.01180934062195773,-0.008706647764936761,-0.014893148052726903,-0.0012919360441691527,-0.000995778649483663,,,,,,
chipmean,sentinel2,17,P17,150,100.0,interior,0.0,r2,-0.013178815943000965,-0.015050845769962502,-0.01488536601097535,-0.012733258381476004,-0.004359515648575138,,,,,,
chipmean,sentinel2,18,P18,140,100.0,interior,0.0,r2,-0.014817636126538782,-0.008371965276999222,-0.013224156967590103,0.0023899084451526695,-0.018288768242050425,,,,,,
chipmean,sentinel2,19,P19,148,100.0,interior,0.0,r2,-0.01053348350611017,0.022711272255265265,0.015095229176045161,-0.009471005365328833,-0.01422619246242153,,,,,,
