cache,sensor,repr,site,test,own_hist_rmse,arm,test_rmse,train_rmse,n_blocks,C1,C2,n_donors,w_blocks_total,C3
chipmean,sentinel1,chip_mean,treatment_0004,P09,0.5600530431363682,H0_own_mean,0.5600530431363682,,0,False,False,,,
chipmean,sentinel1,chip_mean,treatment_0004,P09,0.5600530431363682,L_last_period,0.6419974988138496,,0,False,False,,,
chipmean,sentinel1,chip_mean,treatment_0004,P09,0.5600530431363682,H1_m2,0.8916397126638943,0.3518705442334386,6,False,False,,,
chipmean,sentinel1,chip_mean,treatment_0004,P09,0.5600530431363682,H1_m2_diff,0.7573661572511653,0.5525341505490962,6,True,False,,,
chipmean,sentinel1,chip_mean,treatment_0004,P09,0.5600530431363682,H1_m3,0.7319637455116023,0.38785642851422675,5,False,False,,,
chipmean,sentinel1,chip_mean,treatment_0004,P09,0.5600530431363682,H1_m3_diff,0.8720514228017706,0.5433189192602896,5,False,False,,,
chipmean,sentinel1,chip_mean,treatment_0004,P09,0.5600530431363682,H1_m4,0.645407167155619,0.43267779073143925,4,True,False,,,
chipmean,sentinel1,chip_mean,treatment_0004,P09,0.5600530431363682,H1_m4_diff,0.8938731983474846,0.6498896557885182,4,True,False,,,
chipmean,sentinel1,chip_mean,treatment_0005,P09,0.4395974450727667,H0_own_mean,0.4395974450727667,,0,False,False,,,
chipmean,sentinel1,chip_mean,treatment_0005,P09,0.4395974450727667,L_last_period,0.3577496630850974,,0,False,True,,,
chipmean,sentinel1,chip_mean,treatment_0005,P09,0.4395974450727667,H1_m2,0.4561299687897459,0.48114016967111833,6,True,False,,,
chipmean,sentinel1,chip_mean,treatment_0005,P09,0.4395974450727667,H1_m2_diff,0.8228121822355944,0.25136924679453193,6,False,False,,,
chipmean,sentinel1,chip_mean,treatment_0005,P09,0.4395974450727667,H1_m3,0.37828811776841575,0.5437636625039307,5,True,True,,,
chipmean,sentinel1,chip_mean,treatment_0005,P09,0.4395974450727667,H1_m3_diff,0.5424844928326266,0.6141493865842541,5,True,False,,,
chipmean,sentinel1,chip_mean,treatment_0005,P09,0.4395974450727667,H1_m4,0.3262796855350298,0.559740947800044,4,True,True,,,
chipmean,sentinel1,chip_mean,treatment_0005,P09,0.4395974450727667,H1_m4_diff,0.4415978389417422,0.8059514159622485,4,True,False,,,
chipmean,sentinel1,chip_mean,treatment_0006,P09,0.6910350814572658,H0_own_mean,0.6910350814572658,,0,False,False,,,
chipmean,sentinel1,chip_mean,treatment_0006,P09,0.6910350814572658,L_last_period,0.9108512131283104,,0,False,False,,,
