site,test,test_rmse,train_rmse,own_hist_rmse,equal_w_rmse,C1,C2,C3,n_donors,n_test_dims,w_max,arm,sensor,n_pred_positions
treatment_0002,P10,1.2042949716315652,0.9161817577034634,1.0538362766314358,1.1852308115920196,True,False,False,5.0,980.0,0.3086997281181482,A_perdim(nb11),sentinel2,
treatment_0003,P10,0.9130265400897671,0.8346944382708986,0.8528252156254349,0.9033711250896157,True,False,False,5.0,980.0,0.37880229224385537,A_perdim(nb11),sentinel2,
treatment_0004,P10,1.4336158807997286,1.1117865271761906,0.9454189577083011,1.4066378514768836,True,False,False,5.0,980.0,0.4249799721526603,A_perdim(nb11),sentinel2,
treatment_0005,P10,1.3433596005490516,1.1299500408180854,0.9513326902735654,1.3263850433840965,True,False,False,5.0,980.0,0.31142948983622265,A_perdim(nb11),sentinel2,
treatment_0006,P10,1.2268078508617577,0.981237724764989,0.8730197251872288,1.177858498012708,True,False,False,5.0,980.0,0.4748405107989543,A_perdim(nb11),sentinel2,
treatment_0007,P10,1.0759541194312707,0.8086151001323091,0.9789663210753872,1.0834460714042353,True,False,True,5.0,980.0,0.2792527859594611,A_perdim(nb11),sentinel2,
treatment_0008,P10,1.257005642737155,0.8874098240425555,1.0025338879059151,1.2540574887572853,True,False,False,5.0,980.0,0.3780126028274652,A_perdim(nb11),sentinel2,
treatment_0009,P10,1.306631130137819,0.9046840343687673,1.0608564739773978,1.2890263219735567,True,False,False,5.0,980.0,0.2990689779738923,A_perdim(nb11),sentinel2,
treatment_0010,P10,1.3984377735556606,1.0785211346721206,1.1072973687554368,1.3988928634677495,True,False,True,5.0,980.0,0.2990020615581145,A_perdim(nb11),sentinel2,
treatment_0001,P09,1.1043714906690139,1.1243086598857588,0.7330067786741923,1.1048836112059284,True,False,True,5.0,980.0,0.22259041113072822,A,sentinel1,
treatment_0002,P09,1.0682339789855553,1.058895344109385,0.7213942690743355,1.0695567792145706,True,False,True,5.0,980.0,0.2300780094675062,A,sentinel1,
treatment_0003,P09,1.0720687433184592,1.070493041108446,0.743235322796114,1.0728652421331133,True,False,True,5.0,980.0,0.23305227940378578,A,sentinel1,
treatment_0004,P09,1.0811624088415976,1.1142252551575784,0.6488096654148676,1.0831020408464302,True,False,True,5.0,980.0,0.23466533845423249,A,sentinel1,
treatment_0005,P09,1.0469676156596892,1.0645968643749564,0.6642415369921404,1.0484021515238464,True,False,True,5.0,980.0,0.22156106491131453,A,sentinel1,
treatment_0006,P09,1.0950143599388766,1.0971391902166088,0.7774994322144978,1.0961321943860263,True,False,True,5.0,980.0,0.24924289993970764,A,sentinel1,
treatment_0007,P09,1.086395448283232,1.0791229154626372,0.5847053290131708,1.0889362960376197,True,False,True,5.0,980.0,0.2364389475424074,A,sentinel1,
treatment_0008,P09,1.0551675449850706,1.0662393715039655,0.6428506730655584,1.0566520783082745,True,False,True,5.0,980.0,0.23901421314693355,A,sentinel1,
treatment_0009,P09,1.091189045177523,1.0818456525134728,0.663050711366829,1.0934558500706175,True,False,True,5.0,980.0,0.22335733886894102,A,sentinel1,
treatment_0010,P09,1.0885513101247755,1.1278435742924986,0.6567508396324037,1.0938439222400091,True,False,True,5.0,980.0,0.23252363626743072,A,sentinel1,
treatment_0001,P10,1.1112965393051473,1.122522878509374,0.7227511443444575,1.1101811384887774,True,False,False,5.0,980.0,0.2255032512826718,A,sentinel1,
treatment_0002,P10,1.090954250800045,1.060334661849833,0.7263415509992999,1.0909100146571142,True,False,False,5.0,980.0,0.23103348319036476,A,sentinel1,
treatment_0003,P10,1.0410919800904268,1.07111388599305,0.7499124797055267,1.0427044526543774,True,False,True,5.0,980.0,0.2301366252679629,A,sentinel1,
treatment_0004,P10,1.0982860234297545,1.1110176877340368,0.6435291050464366,1.0984933882386079,True,False,True,5.0,980.0,0.23217578819341086,A,sentinel1,
