cache,sensor,model,period,site,ratio
chipmean,sentinel1,SCM (latent 980-d),P10,treatment_0007,1.7264862758299233
chipmean,sentinel1,ASCM (latent 980-d),P10,treatment_0007,1.726486271104995
chipmean,sentinel1,ridge / text-SC (latent 980-d),P10,treatment_0007,1.6363261597232868
chipmean,sentinel1,SCM (latent 980-d),P09,treatment_0008,1.6354959927822668
chipmean,sentinel1,ASCM (latent 980-d),P09,treatment_0008,1.635495990354815
chipmean,sentinel1,ridge / text-SC (latent 980-d),P09,treatment_0008,1.5217099224288908
chipmean,sentinel1,SCM (latent 980-d),P10,treatment_0008,1.5542479069636859
chipmean,sentinel1,ASCM (latent 980-d),P10,treatment_0008,1.5542479106068818
chipmean,sentinel1,ridge / text-SC (latent 980-d),P10,treatment_0008,1.464613527934241
chipmean,sentinel1,SCM (latent 980-d),P09,treatment_0009,1.5797600751936642
chipmean,sentinel1,ASCM (latent 980-d),P09,treatment_0009,1.5797600792372823
chipmean,sentinel1,ridge / text-SC (latent 980-d),P09,treatment_0009,1.4845638887750283
chipmean,sentinel1,SCM (latent 980-d),P10,treatment_0009,1.5276742785960569
chipmean,sentinel1,ASCM (latent 980-d),P10,treatment_0009,1.5276742727392807
chipmean,sentinel1,ridge / text-SC (latent 980-d),P10,treatment_0009,1.432757949388767
chipmean,sentinel1,SCM (latent 980-d),P09,treatment_0010,1.566825118979744
chipmean,sentinel1,ASCM (latent 980-d),P09,treatment_0010,1.5668251053868587
chipmean,sentinel1,ridge / text-SC (latent 980-d),P09,treatment_0010,1.4787551091370235
chipmean,sentinel1,SCM (latent 980-d),P10,treatment_0010,1.534143477090232
chipmean,sentinel1,ASCM (latent 980-d),P10,treatment_0010,1.5341434903616467
chipmean,sentinel1,ridge / text-SC (latent 980-d),P10,treatment_0010,1.4473399216796445
chipmean,sentinel2,SCM (latent 980-d),P09,treatment_0001,1.0513570175400322
chipmean,sentinel2,ASCM (latent 980-d),P09,treatment_0001,1.0513570480575452
chipmean,sentinel2,ridge / text-SC (latent 980-d),P09,treatment_0001,0.959751868961798
chipmean,sentinel2,SCM (latent 980-d),P10,treatment_0001,1.1968123555754775
chipmean,sentinel2,ASCM (latent 980-d),P10,treatment_0001,1.1968123496970677
chipmean,sentinel2,ridge / text-SC (latent 980-d),P10,treatment_0001,1.1474428714139653
chipmean,sentinel2,SCM (latent 980-d),P09,treatment_0002,1.1530618200223999
chipmean,sentinel2,ASCM (latent 980-d),P09,treatment_0002,1.1530618204468515
chipmean,sentinel2,ridge / text-SC (latent 980-d),P09,treatment_0002,1.060376208426848
chipmean,sentinel2,SCM (latent 980-d),P10,treatment_0002,1.1200984925236583
chipmean,sentinel2,ASCM (latent 980-d),P10,treatment_0002,1.120098490399916
chipmean,sentinel2,ridge / text-SC (latent 980-d),P10,treatment_0002,1.1062825954782711
chipmean,sentinel2,SCM (latent 980-d),P09,treatment_0003,1.1815687048660606
chipmean,sentinel2,ASCM (latent 980-d),P09,treatment_0003,1.1815686984077012
chipmean,sentinel2,ridge / text-SC (latent 980-d),P09,treatment_0003,1.151848103904039
chipmean,sentinel2,SCM (latent 980-d),P10,treatment_0003,1.044593906526163
chipmean,sentinel2,ASCM (latent 980-d),P10,treatment_0003,1.044593902315029
chipmean,sentinel2,ridge / text-SC (latent 980-d),P10,treatment_0003,1.0325571986957904
chipmean,sentinel2,SCM (latent 980-d),P09,treatment_0004,1.1252456697305149
chipmean,sentinel2,ASCM (latent 980-d),P09,treatment_0004,1.125245673000995
chipmean,sentinel2,ridge / text-SC (latent 980-d),P09,treatment_0004,1.0560260158840389
chipmean,sentinel2,SCM (latent 980-d),P10,treatment_0004,1.440885371930866
chipmean,sentinel2,ASCM (latent 980-d),P10,treatment_0004,1.4408854030076916
chipmean,sentinel2,ridge / text-SC (latent 980-d),P10,treatment_0004,1.3323251807914154
chipmean,sentinel2,SCM (latent 980-d),P09,treatment_0005,1.0663689692961555
chipmean,sentinel2,ASCM (latent 980-d),P09,treatment_0005,1.0663689669150795
chipmean,sentinel2,ridge / text-SC (latent 980-d),P09,treatment_0005,0.9865366677972173
chipmean,sentinel2,SCM (latent 980-d),P10,treatment_0005,1.3499192627700838
chipmean,sentinel2,ASCM (latent 980-d),P10,treatment_0005,1.349919262639795
chipmean,sentinel2,ridge / text-SC (latent 980-d),P10,treatment_0005,1.2890786802188694
chipmean,sentinel2,SCM (latent 980-d),P09,treatment_0006,1.3717601159653452
chipmean,sentinel2,ASCM (latent 980-d),P09,treatment_0006,1.3717601185516732
chipmean,sentinel2,ridge / text-SC (latent 980-d),P09,treatment_0006,1.280615923914728
chipmean,sentinel2,SCM (latent 980-d),P10,treatment_0006,1.3034994483831315
chipmean,sentinel2,ASCM (latent 980-d),P10,treatment_0006,1.3034994489503318
chipmean,sentinel2,ridge / text-SC (latent 980-d),P10,treatment_0006,1.2282159717823213
chipmean,sentinel2,SCM (latent 980-d),P09,treatment_0007,1.148270662798119
chipmean,sentinel2,ASCM (latent 980-d),P09,treatment_0007,1.148270661937168
chipmean,sentinel2,ridge / text-SC (latent 980-d),P09,treatment_0007,1.0575874972727808
chipmean,sentinel2,SCM (latent 980-d),P10,treatment_0007,1.0405794197685152
chipmean,sentinel2,ASCM (latent 980-d),P10,treatment_0007,1.0405794352379976
chipmean,sentinel2,ridge / text-SC (latent 980-d),P10,treatment_0007,0.9970096778449575
chipmean,sentinel2,SCM (latent 980-d),P09,treatment_0008,1.161080282937638
chipmean,sentinel2,ASCM (latent 980-d),P09,treatment_0008,1.1610802765488033
chipmean,sentinel2,ridge / text-SC (latent 980-d),P09,treatment_0008,1.0826019084777365
chipmean,sentinel2,SCM (latent 980-d),P10,treatment_0008,1.221253316248879
chipmean,sentinel2,ASCM (latent 980-d),P10,treatment_0008,1.2212533179907363
chipmean,sentinel2,ridge / text-SC (latent 980-d),P10,treatment_0008,1.1406034002943868
chipmean,sentinel2,SCM (latent 980-d),P09,treatment_0009,1.2627571810871914
chipmean,sentinel2,ASCM (latent 980-d),P09,treatment_0009,1.2627571793966221
chipmean,sentinel2,ridge / text-SC (latent 980-d),P09,treatment_0009,1.1855590241393807
chipmean,sentinel2,SCM (latent 980-d),P10,treatment_0009,1.2233481150604828
chipmean,sentinel2,ASCM (latent 980-d),P10,treatment_0009,1.2233481050174293
chipmean,sentinel2,ridge / text-SC (latent 980-d),P10,treatment_0009,1.127827942836342
chipmean,sentinel2,SCM (latent 980-d),P09,treatment_0010,0.8011043408510043
chipmean,sentinel2,ASCM (latent 980-d),P09,treatment_0010,0.801104343250089
chipmean,sentinel2,ridge / text-SC (latent 980-d),P09,treatment_0010,0.8008942176879422
chipmean,sentinel2,SCM (latent 980-d),P10,treatment_0010,1.2532779341568245
chipmean,sentinel2,ASCM (latent 980-d),P10,treatment_0010,1.2532779287418478
chipmean,sentinel2,ridge / text-SC (latent 980-d),P10,treatment_0010,1.17975278451588
chipmean,sentinel1,"SCM on 5 latent chip-means (=FSC, identity)",P09,treatment_0001,2.680855896706366
chipmean,sentinel1,"SCM on 5 latent chip-means (=FSC, identity)",P09,treatment_0002,1.1814925307893105
chipmean,sentinel1,"SCM on 5 latent chip-means (=FSC, identity)",P09,treatment_0003,0.7251477645119259
chipmean,sentinel1,"SCM on 5 latent chip-means (=FSC, identity)",P09,treatment_0004,0.5324595229137207
chipmean,sentinel1,"SCM on 5 latent chip-means (=FSC, identity)",P09,treatment_0005,0.9106247811732596
chipmean,sentinel1,"SCM on 5 latent chip-means (=FSC, identity)",P09,treatment_0006,1.144940298946309
chipmean,sentinel1,"SCM on 5 latent chip-means (=FSC, identity)",P09,treatment_0008,0.7698527420148709
