arm,sensor,treatment_site_id,fit_window,donor,weight,largest_donor_weight,effective_donors,n_train_periods
main,sentinel2,treatment_0007,P01-08,counterfactual_0003_04,0.07553549258694175,0.5465037469554974,2.838820108487247,8
main,sentinel2,treatment_0007,P01-08,counterfactual_0005_04,0.12839242009432753,0.5465037469554974,2.838820108487247,8
main,sentinel2,treatment_0007,P01-08,counterfactual_0007_04,0.11337636860666371,0.5465037469554974,2.838820108487247,8
main,sentinel2,treatment_0007,P01-08,counterfactual_0001_05,0.1361919717565696,0.5465037469554974,2.838820108487247,8
main,sentinel2,treatment_0007,P01-09,counterfactual_0005_01,0.4778459266224961,0.4778459266224961,3.3160684534749185,9
main,sentinel2,treatment_0007,P01-09,counterfactual_0003_04,0.08796384909870802,0.4778459266224961,3.3160684534749185,9
main,sentinel2,treatment_0007,P01-09,counterfactual_0005_04,0.11335051830052334,0.4778459266224961,3.3160684534749185,9
main,sentinel2,treatment_0007,P01-09,counterfactual_0007_04,0.18460830415778098,0.4778459266224961,3.3160684534749185,9
main,sentinel2,treatment_0007,P01-09,counterfactual_0001_05,0.13623140182049162,0.4778459266224961,3.3160684534749185,9
main,sentinel2,treatment_0008,P01-08,counterfactual_0005_05,0.23844375735246118,0.2441181586627862,4.729818938726772,8
main,sentinel2,treatment_0008,P01-08,counterfactual_0010_05,0.2441181586627862,0.2441181586627862,4.729818938726772,8
main,sentinel2,treatment_0008,P01-08,counterfactual_0003_05,0.20660977777256792,0.2441181586627862,4.729818938726772,8
main,sentinel2,treatment_0008,P01-08,counterfactual_0007_01,0.20002785407167237,0.2441181586627862,4.729818938726772,8
main,sentinel2,treatment_0008,P01-08,counterfactual_0002_04,0.11080045214051232,0.2441181586627862,4.729818938726772,8
main,sentinel2,treatment_0008,P01-09,counterfactual_0005_05,0.2293664069304197,0.24495999249792982,4.796181875645059,9
main,sentinel2,treatment_0008,P01-09,counterfactual_0010_05,0.24495999249792982,0.24495999249792982,4.796181875645059,9
main,sentinel2,treatment_0008,P01-09,counterfactual_0003_05,0.19460459711038336,0.24495999249792982,4.796181875645059,9
main,sentinel2,treatment_0008,P01-09,counterfactual_0007_01,0.20560034855823187,0.24495999249792982,4.796181875645059,9
main,sentinel2,treatment_0008,P01-09,counterfactual_0002_04,0.12546865490303521,0.24495999249792982,4.796181875645059,9
main,sentinel2,treatment_0009,P01-08,counterfactual_0008_03,0.36650891983842426,0.36650891983842426,3.974095397078923,8
main,sentinel2,treatment_0009,P01-08,counterfactual_0005_02,0.2673897053771222,0.36650891983842426,3.974095397078923,8
main,sentinel2,treatment_0009,P01-08,counterfactual_0004_05,0.10894520955141639,0.36650891983842426,3.974095397078923,8
main,sentinel2,treatment_0009,P01-08,counterfactual_0005_03,0.10772331152119743,0.36650891983842426,3.974095397078923,8
main,sentinel2,treatment_0009,P01-08,counterfactual_0009_03,0.14943285371183979,0.36650891983842426,3.974095397078923,8
