fill,sensor,repr,M,estimator,role,perm,rmse_test,rmse_train,rel_l2_test,n_sites,C2,C3,lambda,lambda_flag
chipmean,sentinel1,latent980,980,scm,estimator,-,0.3288008947550482,0.3305219572528638,0.5282480165189396,10,0,8,,
chipmean,sentinel1,latent980,980,scm,estimator,B,0.3309214723796707,0.3302031935274191,0.5316990627497956,10,0,8,,
chipmean,sentinel1,latent980,980,scm,estimator,C,0.327246797655207,0.3269350256465514,0.5262343891023179,10,0,10,,
chipmean,sentinel1,latent980,980,scm,estimator,D_min,0.2437862626553692,0.22710006513615508,0.39251771468041935,10,0,10,,
chipmean,sentinel1,latent980,980,scm,estimator,D_full,0.2540343917918716,0.2353588529830371,0.4097846227164668,10,0,9,,
chipmean,sentinel1,latent980,980,scm,estimator,E,0.25689079746956767,0.23663958874438068,0.4143359380353071,10,0,9,,
chipmean,sentinel2,chip_mean,5,equal_weight,reference,-,0.04900771276762602,0.11724119861727691,0.069566528434609,10,7,0,,
chipmean,sentinel2,chip_mean,5,own_history_mean,reference,-,0.07577787076649688,0.14004699035064794,0.10609159338091112,10,0,3,,
chipmean,sentinel2,chip_mean,5,scm,estimator,-,0.04616148558208881,0.08400522207518019,0.065362135336436,10,8,4,,
chipmean,sentinel2,chip_mean,5,perdim_scm,estimator,-,0.03887439484429341,0.07059231902177485,0.05492583059635966,10,9,7,,
chipmean,sentinel2,chip_mean,5,perdim_scm_demeaned,estimator,-,0.03911666190634913,0.06491899272048181,0.05533531926121936,10,9,7,,
chipmean,sentinel2,chip_mean,5,perdim_scm_demeaned_std,estimator,-,0.036627207616207705,0.07289006238567088,0.051777530987751785,10,9,8,,
chipmean,sentinel2,chip_mean,5,scm_demeaned,estimator,-,0.0413279665901931,0.075823965563309,0.05835863090705551,10,9,7,,
chipmean,sentinel2,chip_mean,5,scm_demeaned_std,estimator,-,0.0377023990201887,0.09645225200649907,0.0532511798051417,10,10,6,,
chipmean,sentinel2,gram,15,equal_weight,reference,-,0.054820455646853825,0.1112430922067841,0.10466755573107958,10,8,0,,
chipmean,sentinel2,gram,15,own_history_mean,reference,-,0.10031255136110365,0.1338323578277147,0.1876192976447581,10,0,2,,
chipmean,sentinel2,gram,15,scm,estimator,-,0.05224908746652405,0.08711623492013834,0.099515536956093,10,8,4,,
chipmean,sentinel2,gram,15,afsc,estimator,-,0.05224850434979321,0.08711699357827533,0.09951430268228685,10,8,4,100000000.0,ceiling
chipmean,sentinel2,quantile,100,equal_weight,reference,-,0.0858666064579782,0.14926743446851748,0.11404149291412438,10,10,0,,
chipmean,sentinel2,quantile,100,own_history_mean,reference,-,0.1511365032315235,0.1688819858164612,0.20036103819996046,10,0,0,,
chipmean,sentinel2,quantile,100,scm,estimator,-,0.0857111913334742,0.12703139865986715,0.11375991188696641,10,10,3,,
chipmean,sentinel2,quantile,100,afsc,estimator,-,0.08563314431767655,0.12699112619951233,0.11365613228077312,10,10,3,100000000.0,ceiling
chipmean,sentinel2,combined,115,equal_weight,reference,-,0.12277340532712781,0.21738312157380463,0.11316542856348025,10,10,0,,
chipmean,sentinel2,combined,115,own_history_mean,reference,-,0.21715375153149763,0.2482816082204228,0.19951514277770438,10,0,0,,
chipmean,sentinel2,combined,115,scm,estimator,-,0.12202084313741808,0.18357307986645868,0.11237726143164069,10,10,3,,
chipmean,sentinel2,combined,115,afsc,estimator,-,0.12191863313993215,0.18352018290800462,0.11228282710214639,10,10,3,100000000.0,ceiling
chipmean,sentinel2,block245,245,equal_weight,reference,-,0.1860059559678034,0.17879577454079412,0.25611678795634246,10,2,0,,
chipmean,sentinel2,block245,245,own_history_mean,reference,-,0.15357638943011234,0.17376676855550446,0.210721151653868,10,0,8,,
chipmean,sentinel2,block245,245,scm,estimator,-,0.18932053348321584,0.16469467471332772,0.2604712628814955,10,2,4,,
chipmean,sentinel2,block245,245,scm,estimator,B,0.17207806936489703,0.16721323339982455,0.23732916962662762,10,1,5,,
chipmean,sentinel2,block245,245,scm,estimator,C,0.16867189192608906,0.1659936566238875,0.23253210520678108,10,3,4,,
chipmean,sentinel2,block245,245,scm,estimator,D_min,0.13917992663299156,0.15442273967378312,0.19131042854120323,10,9,8,,
chipmean,sentinel2,block245,245,scm,estimator,D_full,0.13948131784426776,0.15446136963380913,0.19194764771190276,10,9,6,,
chipmean,sentinel2,block245,245,scm,estimator,E,0.14042403226161224,0.1547355653856487,0.19283444924622567,10,9,6,,
chipmean,sentinel2,latent980,980,equal_weight,reference,-,0.28397057018443617,0.22829706211535977,0.3764679907161421,10,0,0,,
chipmean,sentinel2,latent980,980,own_history_mean,reference,-,0.22501752002567055,0.20480537709715757,0.29794979463843557,10,0,10,,
chipmean,sentinel2,latent980,980,scm,estimator,-,0.28849671320272197,0.22020196432472341,0.38242804593393176,10,0,3,,
chipmean,sentinel2,latent980,980,scm,estimator,B,0.26688328476887996,0.21868299539757988,0.34923922205052776,10,0,6,,
chipmean,sentinel2,latent980,980,scm,estimator,C,0.2703828962809879,0.22132041659762436,0.3552820927521763,10,0,7,,
chipmean,sentinel2,latent980,980,scm,estimator,D_min,0.2134725252580104,0.1954856239109008,0.27953592752228673,10,7,9,,
chipmean,sentinel2,latent980,980,scm,estimator,D_full,0.22687141989548518,0.19546295875755082,0.2971813864717614,10,6,10,,
chipmean,sentinel2,latent980,980,scm,estimator,E,0.22401798643319068,0.19561651021554416,0.293784977532792,10,6,10,,
histfill,sentinel1,chip_mean,5,equal_weight,reference,-,0.027509803930149936,0.025943639609238855,0.05052517210648209,10,2,0,,
histfill,sentinel1,chip_mean,5,own_history_mean,reference,-,0.018259896660718037,0.01651080279640663,0.033476470671086445,10,0,8,,
