arm,sensor,treated,donor,n_matched
D_min,sentinel2,treatment_0004,counterfactual_0004_05,60
D_min,sentinel2,treatment_0005,counterfactual_0005_01,56
D_min,sentinel2,treatment_0005,counterfactual_0005_02,120
D_min,sentinel2,treatment_0005,counterfactual_0005_03,109
D_min,sentinel2,treatment_0005,counterfactual_0005_04,128
D_min,sentinel2,treatment_0005,counterfactual_0005_05,149
D_min,sentinel2,treatment_0006,counterfactual_0006_01,171
D_min,sentinel2,treatment_0006,counterfactual_0006_02,155
D_min,sentinel2,treatment_0006,counterfactual_0006_03,147
D_min,sentinel2,treatment_0006,counterfactual_0006_04,177
D_min,sentinel2,treatment_0006,counterfactual_0006_05,157
D_min,sentinel2,treatment_0007,counterfactual_0007_01,146
D_min,sentinel2,treatment_0007,counterfactual_0007_02,190
D_min,sentinel2,treatment_0007,counterfactual_0007_03,173
D_min,sentinel2,treatment_0007,counterfactual_0007_04,158
D_min,sentinel2,treatment_0007,counterfactual_0007_05,94
D_min,sentinel2,treatment_0008,counterfactual_0008_01,148
D_min,sentinel2,treatment_0008,counterfactual_0008_02,122
D_min,sentinel2,treatment_0008,counterfactual_0008_03,146
D_min,sentinel2,treatment_0008,counterfactual_0008_04,90
D_min,sentinel2,treatment_0008,counterfactual_0008_05,120
D_min,sentinel2,treatment_0009,counterfactual_0009_01,154
D_min,sentinel2,treatment_0009,counterfactual_0009_02,176
D_min,sentinel2,treatment_0009,counterfactual_0009_03,144
D_min,sentinel2,treatment_0009,counterfactual_0009_04,143
D_min,sentinel2,treatment_0009,counterfactual_0009_05,144
D_min,sentinel2,treatment_0010,counterfactual_0010_01,154
D_min,sentinel2,treatment_0010,counterfactual_0010_02,153
D_min,sentinel2,treatment_0010,counterfactual_0010_03,117
D_min,sentinel2,treatment_0010,counterfactual_0010_04,102
D_min,sentinel2,treatment_0010,counterfactual_0010_05,77
D_full,sentinel1,treatment_0001,counterfactual_0001_01,141
D_full,sentinel1,treatment_0001,counterfactual_0001_02,104
D_full,sentinel1,treatment_0001,counterfactual_0001_03,101
D_full,sentinel1,treatment_0001,counterfactual_0001_04,142
D_full,sentinel1,treatment_0001,counterfactual_0001_05,133
D_full,sentinel1,treatment_0002,counterfactual_0002_01,110
D_full,sentinel1,treatment_0002,counterfactual_0002_02,94
D_full,sentinel1,treatment_0002,counterfactual_0002_03,103
D_full,sentinel1,treatment_0002,counterfactual_0002_04,83
D_full,sentinel1,treatment_0002,counterfactual_0002_05,125
D_full,sentinel1,treatment_0003,counterfactual_0003_01,176
D_full,sentinel1,treatment_0003,counterfactual_0003_02,182
D_full,sentinel1,treatment_0003,counterfactual_0003_03,174
D_full,sentinel1,treatment_0003,counterfactual_0003_04,176
D_full,sentinel1,treatment_0003,counterfactual_0003_05,122
D_full,sentinel1,treatment_0004,counterfactual_0004_01,59
D_full,sentinel1,treatment_0004,counterfactual_0004_02,150
D_full,sentinel1,treatment_0004,counterfactual_0004_03,54
D_full,sentinel1,treatment_0004,counterfactual_0004_04,134
D_full,sentinel1,treatment_0004,counterfactual_0004_05,61
D_full,sentinel1,treatment_0005,counterfactual_0005_01,58
