treatment_site_id,sensor,period,band,decoded,collab09_cf,err
treatment_0007,sentinel2,before,B8,0.3662349283695221,0.36410248279571533,0.0021324455738067627
treatment_0007,sentinel2,before,B11,0.21052265167236328,0.20485933125019073,0.005663320422172546
treatment_0007,sentinel2,before,B12,0.15400168299674988,0.09012953191995621,0.06387215107679367
treatment_0007,sentinel2,before,NDVI,0.4881427586078644,0.831223726272583,-0.34308096766471863
treatment_0007,sentinel2,before,NDWI,-0.46019333600997925,-0.7344821691513062,0.2742888331413269
treatment_0008,sentinel2,before,B2,0.10624764859676361,0.038210462778806686,0.06803718581795692
treatment_0008,sentinel2,before,B3,0.13314194977283478,0.05918513610959053,0.07395681366324425
treatment_0008,sentinel2,before,B4,0.11989650875329971,0.04241148754954338,0.07748502120375633
treatment_0008,sentinel2,before,B8,0.3662576377391815,0.3417862355709076,0.024471402168273926
treatment_0008,sentinel2,before,B11,0.20719072222709656,0.2210969626903534,-0.013906240463256836
treatment_0008,sentinel2,before,B12,0.14934717118740082,0.10842248052358627,0.040924690663814545
treatment_0008,sentinel2,before,NDVI,0.5067452192306519,0.7796095013618469,-0.27286428213119507
treatment_0008,sentinel2,before,NDWI,-0.4667789936065674,-0.703242301940918,0.23646330833435059
treatment_0009,sentinel2,before,B2,0.10087130218744278,0.03795478865504265,0.06291651353240013
treatment_0009,sentinel2,before,B3,0.12951605021953583,0.058007847517728806,0.07150820270180702
treatment_0009,sentinel2,before,B4,0.12214931100606918,0.03882328420877457,0.08332602679729462
treatment_0009,sentinel2,before,B8,0.36528193950653076,0.34825408458709717,0.017027854919433594
treatment_0009,sentinel2,before,B11,0.20461241900920868,0.20900210738182068,-0.0043896883726119995
treatment_0009,sentinel2,before,B12,0.1539015918970108,0.09824659675359726,0.055654995143413544
treatment_0009,sentinel2,before,NDVI,0.4988003969192505,0.799641489982605,-0.3008410930633545
treatment_0009,sentinel2,before,NDWI,-0.4764770269393921,-0.7133328318595886,0.23685580492019653
treatment_0010,sentinel2,before,B2,0.10643643885850906,0.03847610950469971,0.06796032935380936
treatment_0010,sentinel2,before,B3,0.13218779861927032,0.06006108969449997,0.07212670892477036
treatment_0010,sentinel2,before,B4,0.12482719123363495,0.041627489030361176,0.08319970220327377
treatment_0010,sentinel2,before,B8,0.3744937479496002,0.3394659161567688,0.03502783179283142
treatment_0010,sentinel2,before,B11,0.21362337470054626,0.21613086760044098,-0.0025074928998947144
treatment_0010,sentinel2,before,B12,0.15850931406021118,0.10490529239177704,0.05360402166843414
treatment_0010,sentinel2,before,NDVI,0.5000027418136597,0.7830208539962769,-0.2830181121826172
treatment_0010,sentinel2,before,NDWI,-0.47820016741752625,-0.6987628936767578,0.22056272625923157
treatment_0011,sentinel2,before,B2,0.1018025279045105,0.03784728795289993,0.06395523995161057
treatment_0011,sentinel2,before,B3,0.12983353435993195,0.05884357541799545,0.07098995894193649
treatment_0011,sentinel2,before,B4,0.11781971156597137,0.03963158652186394,0.07818812504410744
treatment_0011,sentinel2,before,B8,0.3621079623699188,0.34142982959747314,0.02067813277244568
treatment_0011,sentinel2,before,B11,0.21349868178367615,0.21493729948997498,-0.0014386177062988281
treatment_0011,sentinel2,before,B12,0.1552542895078659,0.10206148773431778,0.053192801773548126
treatment_0011,sentinel2,before,NDVI,0.5089972615242004,0.7918955087661743,-0.2828982472419739
