sensor,treatment_site_id,counterfactual_site_id,control_rank,match_quality,matching_score
sentinel1,treatment_0018,counterfactual_0019_05,8,tokenizer_latent_knn,12.85484504699707
sentinel1,treatment_0018,counterfactual_0022_10,9,tokenizer_latent_knn,12.865334510803223
sentinel1,treatment_0018,counterfactual_0015_06,10,tokenizer_latent_knn,12.884467124938965
sentinel1,treatment_0019,counterfactual_0024_01,1,tokenizer_latent_knn,12.423473358154297
sentinel1,treatment_0019,counterfactual_0003_08,2,tokenizer_latent_knn,12.603761672973633
sentinel1,treatment_0019,counterfactual_0025_06,3,tokenizer_latent_knn,12.611302375793457
sentinel1,treatment_0019,counterfactual_0014_10,4,tokenizer_latent_knn,12.636953353881836
sentinel1,treatment_0019,counterfactual_0003_01,5,tokenizer_latent_knn,12.664368629455566
sentinel1,treatment_0019,counterfactual_0011_10,6,tokenizer_latent_knn,12.670928955078125
sentinel1,treatment_0019,counterfactual_0004_03,7,tokenizer_latent_knn,12.706596374511719
sentinel1,treatment_0019,counterfactual_0025_04,8,tokenizer_latent_knn,12.72524642944336
sentinel1,treatment_0019,counterfactual_0006_08,9,tokenizer_latent_knn,12.739590644836426
sentinel1,treatment_0019,counterfactual_0005_06,10,tokenizer_latent_knn,12.741724967956543
sentinel1,treatment_0020,counterfactual_0024_01,1,tokenizer_latent_knn,12.352166175842285
sentinel1,treatment_0020,counterfactual_0019_08,2,tokenizer_latent_knn,12.52364730834961
sentinel1,treatment_0020,counterfactual_0025_01,3,tokenizer_latent_knn,12.548259735107422
sentinel1,treatment_0020,counterfactual_0012_07,4,tokenizer_latent_knn,12.552512168884277
sentinel1,treatment_0020,counterfactual_0006_06,5,tokenizer_latent_knn,12.558610916137695
sentinel1,treatment_0020,counterfactual_0003_04,6,tokenizer_latent_knn,12.610568046569824
sentinel1,treatment_0020,counterfactual_0002_09,7,tokenizer_latent_knn,12.626730918884277
sentinel1,treatment_0020,counterfactual_0005_06,8,tokenizer_latent_knn,12.638029098510742
sentinel1,treatment_0020,counterfactual_0020_08,9,tokenizer_latent_knn,12.653385162353516
sentinel1,treatment_0020,counterfactual_0020_02,10,tokenizer_latent_knn,12.655427932739258
sentinel1,treatment_0021,counterfactual_0016_02,1,tokenizer_latent_knn,12.410284042358398
sentinel1,treatment_0021,counterfactual_0025_02,2,tokenizer_latent_knn,12.459135055541992
sentinel1,treatment_0021,counterfactual_0019_02,3,tokenizer_latent_knn,12.487126350402832
sentinel1,treatment_0021,counterfactual_0014_08,4,tokenizer_latent_knn,12.524284362792969
sentinel1,treatment_0021,counterfactual_0017_01,5,tokenizer_latent_knn,12.531991958618164
sentinel1,treatment_0021,counterfactual_0010_06,6,tokenizer_latent_knn,12.557640075683594
sentinel1,treatment_0021,counterfactual_0020_06,7,tokenizer_latent_knn,12.577877044677734
sentinel1,treatment_0021,counterfactual_0016_04,8,tokenizer_latent_knn,12.586610794067383
sentinel1,treatment_0021,counterfactual_0013_02,9,tokenizer_latent_knn,12.596363067626953
sentinel1,treatment_0021,counterfactual_0003_04,10,tokenizer_latent_knn,12.599437713623047
sentinel1,treatment_0022,counterfactual_0022_04,1,tokenizer_latent_knn,12.307076454162598
sentinel1,treatment_0022,counterfactual_0014_03,2,tokenizer_latent_knn,12.437687873840332
sentinel1,treatment_0022,counterfactual_0025_08,3,tokenizer_latent_knn,12.438608169555664
sentinel1,treatment_0022,counterfactual_0011_10,4,tokenizer_latent_knn,12.455263137817383
sentinel1,treatment_0022,counterfactual_0021_10,5,tokenizer_latent_knn,12.468979835510254
sentinel1,treatment_0022,counterfactual_0017_01,6,tokenizer_latent_knn,12.482659339904785
sentinel1,treatment_0022,counterfactual_0006_08,7,tokenizer_latent_knn,12.518156051635742
sentinel1,treatment_0022,counterfactual_0022_06,8,tokenizer_latent_knn,12.592942237854004
sentinel1,treatment_0022,counterfactual_0012_10,9,tokenizer_latent_knn,12.596908569335938
sentinel1,treatment_0022,counterfactual_0018_09,10,tokenizer_latent_knn,12.637520790100098
sentinel1,treatment_0023,counterfactual_0015_06,1,tokenizer_latent_knn,12.308918952941895
sentinel1,treatment_0023,counterfactual_0024_02,2,tokenizer_latent_knn,12.377093315124512
sentinel1,treatment_0023,counterfactual_0010_08,3,tokenizer_latent_knn,12.425596237182617
sentinel1,treatment_0023,counterfactual_0017_05,4,tokenizer_latent_knn,12.455260276794434
sentinel1,treatment_0023,counterfactual_0016_05,5,tokenizer_latent_knn,12.512065887451172
sentinel1,treatment_0023,counterfactual_0014_10,6,tokenizer_latent_knn,12.524650573730469
sentinel1,treatment_0023,counterfactual_0013_02,7,tokenizer_latent_knn,12.530083656311035
sentinel1,treatment_0023,counterfactual_0016_02,8,tokenizer_latent_knn,12.530908584594727
sentinel1,treatment_0023,counterfactual_0015_03,9,tokenizer_latent_knn,12.532180786132812
sentinel1,treatment_0023,counterfactual_0001_08,10,tokenizer_latent_knn,12.53360366821289
sentinel1,treatment_0024,counterfactual_0024_05,1,tokenizer_latent_knn,12.373222351074219
sentinel1,treatment_0024,counterfactual_0012_10,2,tokenizer_latent_knn,12.4227933883667
sentinel1,treatment_0024,counterfactual_0019_09,3,tokenizer_latent_knn,12.426725387573242
sentinel1,treatment_0024,counterfactual_0019_10,4,tokenizer_latent_knn,12.478974342346191
sentinel1,treatment_0024,counterfactual_0003_04,5,tokenizer_latent_knn,12.511590003967285
sentinel1,treatment_0024,counterfactual_0007_06,6,tokenizer_latent_knn,12.528838157653809
sentinel1,treatment_0024,counterfactual_0007_07,7,tokenizer_latent_knn,12.585588455200195
sentinel1,treatment_0024,counterfactual_0015_01,8,tokenizer_latent_knn,12.618915557861328
sentinel1,treatment_0024,counterfactual_0025_01,9,tokenizer_latent_knn,12.621028900146484
sentinel1,treatment_0024,counterfactual_0025_02,10,tokenizer_latent_knn,12.62631893157959
sentinel1,treatment_0025,counterfactual_0011_10,1,tokenizer_latent_knn,12.344350814819336
sentinel1,treatment_0025,counterfactual_0003_02,2,tokenizer_latent_knn,12.445111274719238
sentinel1,treatment_0025,counterfactual_0024_01,3,tokenizer_latent_knn,12.517318725585938
sentinel1,treatment_0025,counterfactual_0011_01,4,tokenizer_latent_knn,12.550324440002441
sentinel1,treatment_0025,counterfactual_0008_09,5,tokenizer_latent_knn,12.571473121643066
sentinel1,treatment_0025,counterfactual_0025_06,6,tokenizer_latent_knn,12.57552719116211
sentinel1,treatment_0025,counterfactual_0009_01,7,tokenizer_latent_knn,12.59012508392334
sentinel1,treatment_0025,counterfactual_0016_03,8,tokenizer_latent_knn,12.60264778137207
sentinel1,treatment_0025,counterfactual_0021_09,9,tokenizer_latent_knn,12.60608196258545
sentinel1,treatment_0025,counterfactual_0025_07,10,tokenizer_latent_knn,12.60621166229248
sentinel1,treatment_0027,counterfactual_0013_02,1,tokenizer_latent_knn,12.71072006225586
sentinel1,treatment_0027,counterfactual_0019_02,2,tokenizer_latent_knn,12.756559371948242
sentinel1,treatment_0027,counterfactual_0003_06,3,tokenizer_latent_knn,12.785013198852539
sentinel1,treatment_0027,counterfactual_0018_03,4,tokenizer_latent_knn,12.82862663269043
sentinel1,treatment_0027,counterfactual_0003_02,5,tokenizer_latent_knn,12.87431526184082
sentinel1,treatment_0027,counterfactual_0003_01,6,tokenizer_latent_knn,12.903159141540527
sentinel1,treatment_0027,counterfactual_0012_10,7,tokenizer_latent_knn,12.914544105529785
sentinel1,treatment_0027,counterfactual_0020_10,8,tokenizer_latent_knn,12.921823501586914
sentinel1,treatment_0027,counterfactual_0023_06,9,tokenizer_latent_knn,12.925297737121582
sentinel1,treatment_0027,counterfactual_0017_01,10,tokenizer_latent_knn,12.928833961486816
sentinel2,treatment_0001,counterfactual_0006_05,1,tokenizer_latent_knn,9.489333152770996
sentinel2,treatment_0001,counterfactual_0003_04,2,tokenizer_latent_knn,9.769037246704102
sentinel2,treatment_0001,counterfactual_0022_03,3,tokenizer_latent_knn,9.82027530670166
sentinel2,treatment_0001,counterfactual_0007_08,4,tokenizer_latent_knn,9.916622161865234
sentinel2,treatment_0001,counterfactual_0006_06,5,tokenizer_latent_knn,9.920034408569336
sentinel2,treatment_0001,counterfactual_0006_09,6,tokenizer_latent_knn,9.978604316711426
sentinel2,treatment_0001,counterfactual_0017_07,7,tokenizer_latent_knn,9.985846519470215
sentinel2,treatment_0001,counterfactual_0024_08,8,tokenizer_latent_knn,9.990886688232422
sentinel2,treatment_0001,counterfactual_0007_06,9,tokenizer_latent_knn,10.037602424621582
sentinel2,treatment_0001,counterfactual_0025_07,10,tokenizer_latent_knn,10.12148380279541
sentinel2,treatment_0002,counterfactual_0024_05,1,tokenizer_latent_knn,8.591939926147461
sentinel2,treatment_0002,counterfactual_0017_02,2,tokenizer_latent_knn,8.682300567626953
sentinel2,treatment_0002,counterfactual_0016_03,3,tokenizer_latent_knn,8.701249122619629
sentinel2,treatment_0002,counterfactual_0003_04,4,tokenizer_latent_knn,8.721794128417969
sentinel2,treatment_0002,counterfactual_0025_09,5,tokenizer_latent_knn,8.770413398742676
